,language,retractedTongueRoot,elevation
254,Eastern Mari,0,45
255,San Miguel El Grande Mixtec,0,2279
256,Tu,0,2746
257,Manchu,0,187
258,Mor (Bomberai Peninsula),0,27
259,Moro,0,745
260,Mullukmulluk,0,40
261,Mawng,0,28
262,Dadibi,0,1267
263,West Makian,0,392
264,Marghi Central,0,426
265,Maranao,0,969
266,Totontepec Mixe,0,1423
267,Murle,0,452
268,Murriny Patha,0,0
269,Kala Lagaw Ya,0,137
270,Burmese,0,711
271,Pirahã,0,75
272,Mumuye,0,543
273,Movima,0,146
274,Southern Nambikuára,0,687
275,Min Nan Chinese,0,35
276,Nama (Namibia),0,1170
277,Naasioi,0,1855
278,Navajo,0,2140
279,Naxi,0,3607
280,Northern Puebla Nahuatl,0,1496
281,Ndut,0,35
282,Eastern Pahari,0,3212
283,Kathmandu Valley Newari,0,288
284,Nez Perce,0,1041
285,Ngizim,0,360
286,Noone,0,1277
287,Niellim,0,358
288,Nganasan,0,0
289,Nimboran,0,61
290,Nivkh,0,365
291,Ao Naga,0,605
292,Northeast Maidu,0,1271
293,Norwegian Bokmål,0,20
294,Nara,0,788
295,Nung (Viet Nam),0,703
296,Wubuy,0,6
297,Ama (Sudan),0,697
298,Nyang'i,0,1369
299,Ocaina,0,114
300,Ogbia,0,21
301,Eastern Ojibwa,0,213
302,Tohono O'odham,0,640
303,Ormuri,0,2281
304,Pacoh,0,757
305,Pech,0,411
306,Páez,0,3472
307,Panare,0,52
308,Bouyei,0,774
309,Western Farsi,0,2174
310,Plateau Malagasy,0,1653
311,Southeastern Pomo,0,439
312,Pohnpeian,0,537
313,South Wa,0,1866
314,Central Pashto,0,1057
315,Paiwan,0,608
316,Pwo Northern Karen,0,1113
317,South Bolivian Quechua,0,4156
318,Quileute,0,16
319,Resígaro,0,127
320,Romanian,0,348
321,Rotokas,0,283
322,Waima,0,9
323,Russian,0,185
324,Sandawe,0,1208
325,Sango,0,503
326,Sakha,0,875
327,Sedang,0,1287
328,Seneca,0,427
329,Cebaara Senoufo,0,390
330,Selkup,0,71
331,Koyraboro Senni Songhai,0,261
332,Sentani,0,74
333,Ninam,0,575
334,Shuswap,0,660
335,Shasta,0,1111
336,Sinhala,0,51
337,Epena,0,22
338,Southern Sierra Miwok,0,780
339,Sáliba,0,119
340,South Saami,0,141
341,Siona-Tetete,0,236
342,Sa'ban,0,1002
343,Somali,0,211
344,Spanish,0,1202
345,Selepet,0,759
346,Soqotri,0,929
347,Sirionó,0,182
348,Natügu,0,0
349,Suena,0,68
350,Savosavo,0,365
351,Sui,0,276
352,Eastern Tamang,0,1864
353,Atayal,0,1882
354,Aikanã,0,520
355,Gaam,0,898
356,Ticuna,0,150
357,Tulu,0,86
358,Tehuelche,0,299
359,Telugu,0,440
360,Timne,0,48
361,Temein,0,842
362,Tetum,0,317
363,Tigak,0,44
364,Tagalog,0,93
365,Thai,0,3
366,Tigre,0,2112
367,Tiwi,0,74
368,Tiruray,0,435
369,Tlingit,0,656
370,Tasomi-Tata,0,486
371,Tama (Chad),0,1045
372,Tamnim Citak,0,19
373,Tacana,0,207
374,Lenakel,0,219
375,Papantla Totonac,0,89
376,Tampulma,0,129
377,Acatepec Me'phaa,0,504
378,Trumai,0,284
379,Toaripi,0,7
380,Tonkawa,0,86
381,Southern-Coastal Tsimshian,0,278
382,Tsou,0,989
383,Purepecha,0,2340
384,Tera,0,363
385,Tunica,0,40
386,Turkish,0,1138
387,Taos Northern Tiwa,0,2143
388,Tuvinian,0,613
389,Tzeltal,0,2091
390,Ngarinyin,0,511
391,Mundari,0,50
392,Northern Uzbek,0,52
393,Vanimo,0,197
394,Vietnamese,0,8
395,Mbabaram,0,341
396,Wappo,0,59
397,Wapishana,0,130
398,Warao,0,26
399,Wahgi,0,2160
400,Wichita,0,390
401,Wik-Mungkan,0,32
402,Wintu,0,157
403,Wiyot,0,449
404,Wantoat,0,1967
405,Usan,0,724
406,Kamang,0,839
407,Wolof,0,53
408,Waris,0,640
409,Warray,0,29
410,Berta,0,897
411,Wu Chinese,0,205
412,Ngiyambaa,0,153
413,Kawaiisu,0,1560
414,Komo (Sudan),0,767
415,Liberia Kpelle,0,285
416,Katcha-Kadugli-Miri,0,473
417,Yagua,0,97
418,Yaqui,0,788
419,Yucuna,0,164
420,Tarok,0,210
421,Yagaria,0,1810
422,Yidiñ,0,7
423,Northern Yukaghir,0,0
424,Yana,0,25
425,Yoruba,0,105
426,Yareba,0,223
427,Tundra Nenets,0,0
428,Yessan-Mayo,0,21
429,Yucatec Maya,0,86
430,Yuchi,0,247
431,Yue Chinese,0,-3
432,Yulu,0,680
433,Yawa,0,852
434,Zande,0,638
435,Copainalá Zoque,0,526
436,Zulu,0,537
437,Zuni,0,2210
