,language,short,elevation
181,Shuar,0,1256
182,Japanese,0,127
183,Jaqaru,0,2766
184,Japrería,0,859
185,Southern Jinghpaw,0,147
186,Kalaallisut,0,0
187,Kashmiri,0,1623
188,Kabardian,0,1234
189,Camsá,0,2387
190,Grass Koiari,0,767
191,Kafa,0,1743
192,Dera (Indonesia),0,332
193,Kekchí,0,28
194,Kera,0,328
195,Ket,0,176
196,Kota (India),0,1456
197,Koya,0,111
198,Kaingang,0,662
199,Khasi,0,38
200,Lü,0,1101
201,Halh Mongolian,0,1305
202,Lusi,0,92
203,Central Khmer,0,26
204,Kharia,0,376
205,Kiowa,0,450
206,Kirghiz,0,3699
207,Southern Kiwai,0,37
208,Khmu,0,953
209,Western Keres,0,1852
210,East Kewa,0,1942
211,Teke-Kukuya,0,530
212,Klamath-Modoc,0,1299
213,Klao,0,66
214,Kwoma,0,31
215,Northern Kurdish,0,697
216,Dera (Nigeria),0,195
217,Central Kanuri,0,314
218,Maharashtrian Konkani,0,723
219,Korean,0,154
220,Kpan,0,139
221,Koho,0,871
222,Komi-Zyrian,0,125
223,Koryak,0,0
224,Kurukh,0,284
225,S'gaw Karen,0,246
226,Kalkutung,0,435
227,South-Eastern Ju,0,1161
228,Kunama,0,1058
229,Kunimaipa,0,1857
230,Border Kuna,0,460
231,Kwaio,0,564
232,Kwak'wala,0,112
233,Karok,0,676
234,Lakkia,0,767
235,Lak,0,2018
236,Lelemi,0,519
237,Lugbara,0,1225
238,Lahu,0,1476
239,Lithuanian,0,54
240,Lakota,0,834
241,Peve,0,328
242,Luiseno,0,742
243,Luo (Kenya and Tanzania),0,1467
244,Northern Lushootseed,0,92
245,Chiquihuitlán Mazatec,0,1897
246,Masai,0,1187
247,Central Mazahua,0,2941
248,Maxakalí,0,294
249,Donga Mambila,0,781
250,Mbum,0,830
251,Maba (Chad),0,509
252,Dizin,0,2094
253,Mba,0,456
254,Mogholi,0,942
255,Eastern Mari,0,45
256,San Miguel El Grande Mixtec,0,2279
257,Tu,0,2746
258,Manchu,0,187
259,Mor (Bomberai Peninsula),0,27
260,Moro,0,745
261,Mullukmulluk,0,40
262,Mawng,0,28
263,Dadibi,0,1267
264,West Makian,0,392
265,Marghi Central,0,426
266,Maranao,0,969
267,Totontepec Mixe,0,1423
268,Murle,0,452
269,Murriny Patha,0,0
270,Kala Lagaw Ya,0,137
271,Burmese,0,711
272,Pirahã,0,75
273,Mumuye,0,543
274,Movima,0,146
275,Southern Nambikuára,0,687
276,Min Nan Chinese,0,35
277,Nama (Namibia),0,1170
278,Naasioi,0,1855
279,Navajo,0,2140
280,Naxi,0,3607
281,Northern Puebla Nahuatl,0,1496
282,Ndut,0,35
283,Eastern Pahari,0,3212
284,Kathmandu Valley Newari,0,288
285,Nez Perce,0,1041
286,Ngizim,0,360
287,Noone,0,1277
288,Niellim,0,358
289,Nganasan,0,0
290,Nimboran,0,61
291,Nivkh,0,365
292,Ao Naga,0,605
293,Northeast Maidu,0,1271
294,Norwegian Bokmål,0,20
295,Nuu-chah-nulth,0,614
296,Nara,0,788
297,Wubuy,0,6
298,Ama (Sudan),0,697
299,Nyang'i,0,1369
300,Ocaina,0,114
301,Ogbia,0,21
302,Eastern Ojibwa,0,213
303,Tohono O'odham,0,640
304,Ormuri,0,2281
305,Pacoh,0,757
306,Pech,0,411
307,Páez,0,3472
308,Panare,0,52
309,Bouyei,0,774
310,Western Farsi,0,2174
311,Plateau Malagasy,0,1653
312,Southeastern Pomo,0,439
313,Pohnpeian,0,537
314,South Wa,0,1866
315,Central Pashto,0,1057
316,Paiwan,0,608
317,Pwo Northern Karen,0,1113
318,South Bolivian Quechua,0,4156
319,Quileute,0,16
320,Resígaro,0,127
321,Romanian,0,348
322,Rotokas,0,283
323,Waima,0,9
324,Russian,0,185
325,Rutul,0,1950
326,Sandawe,0,1208
327,Sango,0,503
328,Sakha,0,875
329,Sedang,0,1287
330,Seneca,0,427
331,Cebaara Senoufo,0,390
332,Selkup,0,71
333,Koyraboro Senni Songhai,0,261
334,Sentani,0,74
335,Ninam,0,575
336,Tachelhit,0,904
337,Shuswap,0,660
338,Shasta,0,1111
339,Sinhala,0,51
340,Epena,0,22
341,Southern Sierra Miwok,0,780
342,Sáliba,0,119
343,South Saami,0,141
344,Siona-Tetete,0,236
345,Sa'ban,0,1002
346,Somali,0,211
347,Spanish,0,1202
348,Selepet,0,759
349,Soqotri,0,929
350,Sirionó,0,182
351,Natügu,0,0
352,Suena,0,68
353,Savosavo,0,365
354,Sui,0,276
355,Eastern Tamang,0,1864
356,Atayal,0,1882
357,Aikanã,0,520
358,Gaam,0,898
359,Ticuna,0,150
360,Tulu,0,86
361,Tehuelche,0,299
362,Telugu,0,440
363,Timne,0,48
364,Temein,0,842
365,Tetum,0,317
366,Tigak,0,44
367,Tagalog,0,93
368,Thai,0,3
369,Tahaggart Tamahaq,0,760
370,Tigre,0,2112
371,Tiwi,0,74
372,Tiruray,0,435
373,Tlingit,0,656
374,Tasomi-Tata,0,486
375,Tama (Chad),0,1045
376,Tamnim Citak,0,19
377,Tacana,0,207
378,Lenakel,0,219
379,Papantla Totonac,0,89
380,Tampulma,0,129
381,Acatepec Me'phaa,0,504
382,Trumai,0,284
383,Toaripi,0,7
384,Tonkawa,0,86
385,Lishán Didán,0,1635
386,Southern-Coastal Tsimshian,0,278
387,Tsou,0,989
388,Purepecha,0,2340
389,Tera,0,363
390,Tunica,0,40
391,Turkish,0,1138
392,Taos Northern Tiwa,0,2143
393,Tuvinian,0,613
394,Tzeltal,0,2091
395,Ngarinyin,0,511
396,Mundari,0,50
397,Northern Uzbek,0,52
398,Vanimo,0,197
399,Vietnamese,0,8
400,Mbabaram,0,341
401,Wappo,0,59
402,Wapishana,0,130
403,Warao,0,26
404,Wahgi,0,2160
405,Wichita,0,390
406,Wik-Mungkan,0,32
407,Wintu,0,157
408,Wiyot,0,449
409,Wantoat,0,1967
410,Usan,0,724
411,Kamang,0,839
412,Wolof,0,53
413,Waris,0,640
414,Warray,0,29
415,Berta,0,897
416,Wu Chinese,0,205
417,Ngiyambaa,0,153
418,Kawaiisu,0,1560
419,Komo (Sudan),0,767
420,Liberia Kpelle,0,285
421,Katcha-Kadugli-Miri,0,473
422,Yagua,0,97
423,Yaqui,0,788
424,Yucuna,0,164
425,Tarok,0,210
426,Yagaria,0,1810
427,Yidiñ,0,7
428,Northern Yukaghir,0,0
429,Yana,0,25
430,Yoruba,0,105
431,Yareba,0,223
432,Yessan-Mayo,0,21
433,Yucatec Maya,0,86
434,Yuchi,0,247
435,Yue Chinese,0,-3
436,Yulu,0,680
437,Yawa,0,852
438,Zande,0,638
439,Copainalá Zoque,0,526
440,Zulu,0,537
441,Zuni,0,2210
