,language,constrictedGlottis,elevation
luok1236,Luo (Kenya and Tanzania),1,1467
lush1252,Northern Lushootseed,9,92
luuu1242,Lü,1,1101
maba1277,Maba (Chad),1,509
mara1404,Maranao,1,969
marg1265,Marghi Central,1,426
maxa1247,Maxakalí,1,294
minn1241,Min Nan Chinese,1,35
mogh1245,Mogholi,1,942
morb1239,Mor (Bomberai Peninsula),1,27
movi1243,Movima,1,146
muin1242,Muinane,1,177
mund1320,Mundari,1,50
naas1242,Naasioi,1,1855
nama1264,Nama (Namibia),1,1170
nava1243,Navajo,5,2140
ndut1239,Ndut,1,35
nene1249,Tundra Nenets,2,0
nezp1238,Nez Perce,11,1041
ngan1291,Nganasan,1,0
ngiz1242,Ngizim,3,360
niel1243,Niellim,1,358
niva1238,Nivaclé,6,209
noon1243,Noone,1,1277
nort1550,Taos Northern Tiwa,5,2143
nort2641,Northern Kurdish,1,697
nort2735,Northern Dong,1,512
nort2815,Northeastern Dinka,6,401
nort2938,Northern Haida,14,80
nort2952,Northeast Maidu,4,1271
nort2957,Northern Puebla Nahuatl,1,1496
nucl1235,Eastern Armenian,5,1912
nucl1301,Turkish,1,1138
nucl1302,Georgian,6,1338
nucl1310,Burmese,1,711
nucl1347,Wolof,1,53
nucl1649,Southern-Coastal Tsimshian,14,278
nung1283,Nung (Viet Nam),3,703
nuuc1236,Nuu-chah-nulth,14,614
nyah1250,Nyahkur,1,556
ocai1244,Ocaina,1,114
paco1243,Pacoh,4,757
paez1247,Páez,1,3472
paiw1248,Paiwan,1,608
papa1238,Papantla Totonac,1,89
para1311,Paraguayan Guaraní,1,184
pech1241,Pech,1,411
peve1243,Peve,3,328
pira1253,Pirahã,1,75
popt1235,Popti',6,2060
pure1242,Purepecha,1,2340
pwon1235,Pwo Northern Karen,1,1113
qawa1238,Qawasqar,3,80
quil1240,Quileute,9,16
quio1240,Quiotepec Chinantec,1,1441
resi1247,Resígaro,1,127
ruka1240,Rukai,1,1689
rutu1240,Rutul,14,1950
saba1265,Sa'ban,1,1002
sali1298,Sáliba,1,119
sand1273,Sandawe,5,1208
sanm1295,San Miguel El Grande Mixtec,1,2279
seda1262,Sedang,18,1287
sene1264,Seneca,1,427
sgaw1245,S'gaw Karen,1,246
shas1239,Shasta,5,1111
shua1257,Shuar,1,1256
shus1248,Shuswap,14,660
sion1247,Siona-Tetete,6,236
soma1255,Somali,2,211
soqo1240,Soqotri,7,929
sout2949,Southern Kiwai,1,37
sout2982,Southeastern Pomo,7,439
sout2985,Southern Sierra Miwok,1,780
sout2991,South Bolivian Quechua,5,4156
sout2994,Southern Nambikuára,18,687
suii1243,Sui,10,276
taca1256,Tacana,1,207
taga1270,Tagalog,1,93
tedi1235,Tedim Chin,3,1359
tehu1242,Tehuelche,6,299
tetu1245,Tetum,1,317
thai1261,Thai,1,3
ticu1245,Ticuna,1,150
tigr1270,Tigre,5,2112
timn1235,Timne,1,48
tiru1241,Tiruray,1,435
tlin1245,Tlingit,15,656
toho1245,Tohono O'odham,1,640
toll1241,Tol,5,773
tonk1249,Tonkawa,1,86
toto1305,Totontepec Mixe,1,1423
trum1247,Trumai,1,284
tsou1248,Tsou,3,989
tuni1252,Tunica,1,40
tzel1254,Tzeltal,6,2091
uppe1439,Upper Chehalis,9,35
usan1239,Usan,1,724
viet1252,Vietnamese,1,8
waim1251,Waima,1,9
wapi1253,Wapishana,4,130
wapp1239,Wappo,12,59
wayu1243,Wayuu,1,37
west2369,Western Farsi,1,2174
west2397,Western Bru,1,161
west2632,Western Keres,16,1852
west2644,Western Highland Chatino,1,1344
west2650,Western Cham,3,35
wich1260,Wichita,6,390
wikm1247,Wik-Mungkan,1,32
wint1259,Wintu,7,157
wiyo1248,Wiyot,1,449
wuch1236,Wu Chinese,1,205
yaga1260,Yagaria,1,1810
yana1271,Yana,5,25
yane1238,Yanesha',1,2474
yaqu1251,Yaqui,1,788
yuca1254,Yucatec Maya,12,86
yuch1247,Yuchi,14,247
yucu1253,Yucuna,1,164
yulu1243,Yulu,1,680
zulu1248,Zulu,4,537
zuni1245,Zuni,5,2210
0,Eastern Arrernte,0,720
1,Aproumu Aizi,0,24
2,Hokkaido Ainu,0,216
3,Akan,0,166
4,Akawaio,0,970
5,Alabama,0,89
6,Alladian,0,14
7,Aleut,0,82
8,Alawa,0,147
9,Northern Tosk Albanian,0,88
10,Amo,0,784
11,Alamblak,0,77
12,Ngas,0,1130
13,Antakarinya,0,178
14,Apucikwar,0,58
15,Arabela,0,182
16,Mapudungun,0,1538
17,Waorani,0,259
18,Awngi,0,2024
19,Abipon,0,65
20,North Azerbaijani,0,276
21,Bambara,0,386
22,Waimaha,0,167
23,Baatonum,0,379
24,Batak Toba,0,948
25,Northern Bobo Madaré,0,467
26,Central Bai,0,3046
27,Bardi,0,46
28,Kohumono,0,23
29,Tweed-Albert,0,51
30,Bengali,0,8
31,Beembe,0,358
32,Daloa Bété,0,234
33,Bissa,0,263
34,Bakairí,0,428
35,Berom,0,1221
36,Bororo,0,180
37,Breton,0,143
38,Bodo-Mech,0,114
39,Burushaski,0,3309
40,Bulgarian,0,98
41,Burarra,0,36
42,Qaqet,0,941
43,Bribri,0,706
44,Car Nicobarese,0,30
45,Min Dong Chinese,0,6
46,Chuvash,0,95
47,Chuave,0,2050
48,Mandarin Chinese,0,88
49,Asháninka,0,497
50,Wamey,0,79
51,Chuanqiandian Cluster Miao,0,1077
52,Island Carib,0,758
53,Cubeo,0,192
54,Cayubaba,0,141
55,Dangaleat,0,459
56,Dan,0,324
57,Dagbani,0,181
58,Dar Fur Daju,0,609
59,Nyishi-Hill Miri,0,996
60,Dyirbal,0,858
61,German,0,368
62,Dieri,0,19
63,Doyayo,0,309
64,Dagur,0,167
65,Toro So Dogon,0,279
66,Jola-Fonyi,0,31
67,Efik,0,25
68,Ekari,0,1658
69,Modern Greek,0,190
70,Central Siberian Yupik,0,0
71,Ejagham,0,220
72,Basque,0,362
73,Even,0,0
74,Ewe,0,114
75,Ewondo,0,593
76,Fasu,0,217
77,Nobiin,0,277
78,Finnish,0,66
79,French,0,124
80,Fur,0,874
81,Ga,0,94
82,Garrwa,0,205
83,Gbagyi,0,261
84,Central Gelao-Qau,0,1275
85,Nanai,0,34
86,Irish,0,88
87,Guahibo,0,88
88,Guambiano,0,1725
89,Aché,0,158
90,Kuku-Yalanji,0,236
91,Hakka Chinese,0,365
92,Hixkaryána,0,341
93,Hungarian,0,110
94,San Mateo del Mar Huave,0,5
95,Iaai,0,21
96,Igbo,0,8
97,Izon,0,5
98,Irarutu,0,65
99,Isoko,0,16
100,Itbayat,0,97
101,Iwam,0,26
102,Yanyuwa,0,57
103,Japanese,0,127
104,Kalaallisut,0,0
105,Kashmiri,0,1623
106,Camsá,0,2387
107,Grass Koiari,0,767
108,Dera (Indonesia),0,332
109,Kazym-Berezover-Suryskarer Khanty,0,54
110,Kota (India),0,1456
111,Koya,0,111
112,Halh Mongolian,0,1305
113,Lusi,0,92
114,Kharia,0,376
115,Kirghiz,0,3699
116,East Kewa,0,1942
117,Teke-Kukuya,0,530
118,Klao,0,66
119,Maharashtrian Konkani,0,723
120,Kpan,0,139
121,Komi-Zyrian,0,125
122,Kupsabiny,0,2719
123,Kalkutung,0,435
124,Kunama,0,1058
125,Kunimaipa,0,1857
126,Border Kuna,0,460
127,Lelemi,0,519
128,Lithuanian,0,54
129,Masai,0,1187
130,Donga Mambila,0,781
131,Mbum,0,830
132,Mba,0,456
133,Eastern Mari,0,45
134,Tu,0,2746
135,Manchu,0,187
136,Moro,0,745
137,Mullukmulluk,0,40
138,Mawng,0,28
139,Dadibi,0,1267
140,West Makian,0,392
141,Murle,0,452
142,Murriny Patha,0,0
143,Kala Lagaw Ya,0,137
144,Mumuye,0,543
145,Naxi,0,3607
146,Eastern Pahari,0,3212
147,Kathmandu Valley Newari,0,288
148,Nimboran,0,61
149,Nivkh,0,365
150,Norwegian Bokmål,0,20
151,Nara,0,788
152,Wubuy,0,6
153,Ama (Sudan),0,697
154,Nyang'i,0,1369
155,Ogbia,0,21
156,Ormuri,0,2281
157,Plateau Malagasy,0,1653
158,Pohnpeian,0,537
159,South Wa,0,1866
160,Central Pashto,0,1057
161,Romanian,0,348
162,Rotokas,0,283
163,Russian,0,185
164,Sango,0,503
165,Sakha,0,875
166,Selkup,0,71
167,Koyraboro Senni Songhai,0,261
168,Sentani,0,74
169,Ninam,0,575
170,Tachelhit,0,904
171,Sinhala,0,51
172,South Saami,0,141
173,Spanish,0,1202
174,Selepet,0,759
175,Sirionó,0,182
176,Natügu,0,0
177,Suena,0,68
178,Savosavo,0,365
179,Eastern Tamang,0,1864
180,Tulu,0,86
181,Telugu,0,440
182,Temein,0,842
183,Tigak,0,44
184,Tahaggart Tamahaq,0,760
185,Tiwi,0,74
186,Tasomi-Tata,0,486
187,Tama (Chad),0,1045
188,Tamnim Citak,0,19
189,Lenakel,0,219
190,Tampulma,0,129
191,Toaripi,0,7
192,Tera,0,363
193,Tuvinian,0,613
194,Ngarinyin,0,511
195,Northern Uzbek,0,52
196,Vanimo,0,197
197,Mbabaram,0,341
198,Warao,0,26
199,Wahgi,0,2160
200,Wantoat,0,1967
201,Kamang,0,839
202,Waris,0,640
203,Warray,0,29
204,Ngiyambaa,0,153
205,Liberia Kpelle,0,285
206,Katcha-Kadugli-Miri,0,473
207,Yagua,0,97
208,Tarok,0,210
209,Yidiñ,0,7
210,Northern Yukaghir,0,0
211,Yoruba,0,105
212,Yareba,0,223
213,Yessan-Mayo,0,21
214,Yue Chinese,0,-3
215,Yawa,0,852
216,Zande,0,638
