,language,tap,elevation
49,Nyahkur,0,556
50,Kakua,0,155
51,Min Dong Chinese,0,6
52,Chamorro,0,69
53,Chipewyan,0,258
54,Quiotepec Chinantec,0,1441
55,Cherokee,0,1159
56,Chuvash,0,95
57,Upper Chehalis,0,35
58,Chukchi,0,0
59,Mandarin Chinese,0,88
60,Haka Chin,0,896
61,Cofán,0,342
62,Wamey,0,79
63,Chuanqiandian Cluster Miao,0,1077
64,Tedim Chin,0,1359
65,Western Highland Chatino,0,1344
66,Dangaleat,0,459
67,Dan,0,324
68,Dagbani,0,181
69,Dahalo,0,20
70,Nyishi-Hill Miri,0,996
71,Dyirbal,0,858
72,German,0,368
73,Tipai,0,297
74,Northeastern Dinka,0,401
75,Lower Grand Valley Dani,0,2969
76,Northern Dong,0,512
77,Doyayo,0,309
78,Rukai,0,1689
79,Dagur,0,167
80,Efik,0,25
81,Ekari,0,1658
82,Central Siberian Yupik,0,0
83,Even,0,0
84,Ewondo,0,593
85,Eyak,0,0
86,Nobiin,0,277
87,Fijian,0,151
88,Finnish,0,66
89,Fe'fe',0,1444
90,French,0,124
91,Fulniô,0,391
92,Fur,0,874
93,Fwâi,0,126
94,Ga,0,94
95,Gadsup,0,1311
96,Garrwa,0,205
97,Central Gelao-Qau,0,1275
98,Nanai,0,34
99,Dawro,0,1936
100,Guahibo,0,88
101,Kuku-Yalanji,0,236
102,Hakka Chinese,0,365
103,Hawaiian,0,2020
104,Northern Haida,0,80
105,Hopi,0,1713
106,Hadza,0,1277
107,Hungarian,0,110
108,Hupa,0,123
109,Huastec,0,69
110,Eastern Armenian,0,1912
111,Iaai,0,21
112,Iban,0,121
113,Ik,0,1739
114,Iraqw,0,1767
115,West Itelmen,0,124
116,Iu Mien,0,1299
117,Itbayat,0,97
118,Iwam,0,26
119,Javanese,0,112
120,Tol,0,773
121,Southern Jinghpaw,0,147
122,Kalaallisut,0,0
123,Kashmiri,0,1623
124,Georgian,0,1338
125,Kabardian,0,1234
126,Kafa,0,1743
127,Dera (Indonesia),0,332
128,Kazym-Berezover-Suryskarer Khanty,0,54
129,Kekchí,0,28
130,Kera,0,328
131,Ket,0,176
132,Kaingang,0,662
133,Khasi,0,38
134,Lü,0,1101
135,Halh Mongolian,0,1305
136,Kiowa,0,450
137,Kirghiz,0,3699
138,Southern Kiwai,0,37
139,Khmu,0,953
140,Teke-Kukuya,0,530
141,Klamath-Modoc,0,1299
142,Klao,0,66
143,Dera (Nigeria),0,195
144,Korean,0,154
145,Kpan,0,139
146,Koho,0,871
147,Komi-Zyrian,0,125
148,Koryak,0,0
149,Kurukh,0,284
150,S'gaw Karen,0,246
151,Kunama,0,1058
152,Kwaio,0,564
153,Kwak'wala,0,112
154,Lakkia,0,767
155,Lak,0,2018
156,Lelemi,0,519
157,Lahu,0,1476
158,Lithuanian,0,54
159,Lakota,0,834
160,Luiseno,0,742
161,Northern Lushootseed,0,92
162,Chiquihuitlán Mazatec,0,1897
163,Central Mazahua,0,2941
164,Maxakalí,0,294
165,Donga Mambila,0,781
166,Mbum,0,830
167,Maba (Chad),0,509
168,Dizin,0,2094
169,Mba,0,456
170,Mogholi,0,942
171,San Miguel El Grande Mixtec,0,2279
172,Tu,0,2746
173,Manchu,0,187
174,Mor (Bomberai Peninsula),0,27
175,Mullukmulluk,0,40
176,West Makian,0,392
177,Marghi Central,0,426
178,Totontepec Mixe,0,1423
179,Murle,0,452
180,Kala Lagaw Ya,0,137
181,Burmese,0,711
182,Pirahã,0,75
183,Mumuye,0,543
184,Min Nan Chinese,0,35
185,Nama (Namibia),0,1170
186,Navajo,0,2140
187,Naxi,0,3607
188,Northern Puebla Nahuatl,0,1496
189,Ndut,0,35
190,Kathmandu Valley Newari,0,288
191,Nez Perce,0,1041
192,Noone,0,1277
193,Nganasan,0,0
194,Nimboran,0,61
195,Nivkh,0,365
196,Ao Naga,0,605
197,Northeast Maidu,0,1271
198,Nuu-chah-nulth,0,614
199,Nara,0,788
200,Nung (Viet Nam),0,703
201,Wubuy,0,6
202,Nyang'i,0,1369
203,Ogbia,0,21
204,Eastern Ojibwa,0,213
205,Ormuri,0,2281
206,Pacoh,0,757
207,Panare,0,52
208,Bouyei,0,774
209,Western Farsi,0,2174
210,Plateau Malagasy,0,1653
211,Pohnpeian,0,537
212,South Wa,0,1866
213,Pwo Northern Karen,0,1113
214,Quileute,0,16
215,Resígaro,0,127
216,Romanian,0,348
217,Russian,0,185
218,Rutul,0,1950
219,Sakha,0,875
220,Sedang,0,1287
221,Seneca,0,427
222,Cebaara Senoufo,0,390
223,Selkup,0,71
224,Koyraboro Senni Songhai,0,261
225,Sentani,0,74
226,Tachelhit,0,904
227,Shuswap,0,660
228,Shasta,0,1111
229,Southern Sierra Miwok,0,780
230,South Saami,0,141
231,Siona-Tetete,0,236
232,Soqotri,0,929
233,Natügu,0,0
234,Sui,0,276
235,Eastern Tamang,0,1864
236,Gaam,0,898
237,Tulu,0,86
238,Tehuelche,0,299
239,Timne,0,48
240,Temein,0,842
241,Tetum,0,317
242,Tigak,0,44
243,Tahaggart Tamahaq,0,760
244,Tigre,0,2112
245,Tiruray,0,435
246,Tlingit,0,656
247,Tasomi-Tata,0,486
248,Papantla Totonac,0,89
249,Tampulma,0,129
250,Acatepec Me'phaa,0,504
251,Trumai,0,284
252,Toaripi,0,7
253,Tonkawa,0,86
254,Southern-Coastal Tsimshian,0,278
255,Tsou,0,989
256,Purepecha,0,2340
257,Tera,0,363
258,Tunica,0,40
259,Turkish,0,1138
260,Taos Northern Tiwa,0,2143
261,Tuvinian,0,613
262,Mundari,0,50
263,Vanimo,0,197
264,Vietnamese,0,8
265,Wappo,0,59
266,Wahgi,0,2160
267,Wichita,0,390
268,Wik-Mungkan,0,32
269,Wintu,0,157
270,Wiyot,0,449
271,Wantoat,0,1967
272,Usan,0,724
273,Kamang,0,839
274,Waris,0,640
275,Warray,0,29
276,Berta,0,897
277,Wu Chinese,0,205
278,Komo (Sudan),0,767
279,Katcha-Kadugli-Miri,0,473
280,Tarok,0,210
281,Yagaria,0,1810
282,Yidiñ,0,7
283,Northern Yukaghir,0,0
284,Yana,0,25
285,Tundra Nenets,0,0
286,Yessan-Mayo,0,21
287,Yucatec Maya,0,86
288,Yuchi,0,247
289,Yue Chinese,0,-3
290,Yulu,0,680
291,Copainalá Zoque,0,526
292,Zulu,0,537
293,Zuni,0,2210
