,language,retractedTongueRoot,elevation
281,Kuwaataay,0,5
282,Attié,0,72
283,Angolar,0,104
284,Eastern Oromo,0,1408
285,Upper Guinea Crioulo,0,44
286,Akoose,0,859
287,Bakaka,0,517
288,Mbo (Cameroon),0,835
289,Bassossi,0,325
290,Kru Pidgin English,0,42
291,Gban,0,166
292,Eton-Mengisa,0,516
293,Réunion Creole French,0,1722
294,Masalit,0,815
295,Sãotomense,0,1073
296,Tangale,0,565
297,Sukuma,0,1166
298,Morisyen,0,464
299,Krio,0,11
300,Kituba (Democratic Republic of Congo),0,342
301,Akaselem,0,319
302,Tuki,0,581
303,Baka (Cameroon),0,548
304,Bum,0,1322
305,Daba,0,813
306,Gavar,0,622
307,Gude,0,874
308,Lango (Sudan),0,776
309,Igo,0,722
310,Kako,0,594
311,Kwanja,0,1014
312,Donga Mambila,0,781
313,Merey,0,787
314,Wandala,0,339
315,Chonyi-Dzihana-Kauma,0,65
316,Digo,0,19
317,Duruma,0,221
318,Giryama,0,122
321,Vame,0,412
322,Mmaala,0,484
323,Mpade,0,290
324,Mofu-Gudur,0,730
325,Mbe',0,754
326,Ncane,0,960
327,Southern Mfumte,0,662
328,Njyem,0,595
329,Buamu,0,319
330,Kwami,0,708
331,Guro,0,276
332,Kabuverdianu,0,467
333,Bouna Kulango,0,251
334,Tsamai,0,741
335,Central Moroccan Berber,0,1354
336,Siwi,0,-7
337,Ndamba,0,280
338,Barain,0,395
339,Gaam,0,898
340,Mungbam,0,777
341,Mundabli,0,730
342,Ajumbu,0,771
343,Koshin,0,812
344,Fang (Cameroon),0,749
345,Kuranko,0,474
346,Niellim,0,358
347,North Giziga,0,488
349,Mokpwe,0,2301
350,Siamou,0,542
351,Ngiemboon,0,1797
352,Nugunu (Cameroon),0,481
353,Tigon Mbembe,0,255
354,Orma,0,141
355,Pinyin,0,1841
357,Reel,0,431
358,Wuzlam,0,535
359,Lese,0,973
360,Toura (Côte d'Ivoire),0,546
361,Gweno,0,1062
362,Sumbwa,0,1204
363,Zinza,0,1338
364,Meru,0,1254
365,Kahe,0,707
366,Hangaza,0,1353
367,Mochi,0,892
368,Suba-Simbiti,0,1294
369,Kwaya,0,1152
370,Wawa,0,1214
371,Tunia,0,364
372,Fuliiru,0,1629
373,Sandawe,0,1208
374,Tsuvadi,0,257
375,Ejagham,0,220
376,Yemba,0,1324
377,Bafanji,0,1171
378,Burji,0,1406
379,Anii,0,395
380,Fipa,0,1821
381,Nawuri,0,120
382,Anfillo,0,1472
383,Ntomba,0,292
384,Tumtum,0,487
385,Iyive,0,380
386,Batak Karo,0,7
387,Tagalog,0,93
388,Southern Sama,0,21
389,Kimaragang,0,258
390,Lemeting,0,18
391,Iloko,0,287
392,Eastern Cham,0,24
393,Moklen,0,17
394,Moken,0,0
395,Nias,0,0
396,Javanese,0,112
397,Buol,0,134
398,Makasar,0,0
399,Mori Bawah,0,541
400,Kambera,0,325
401,Tetum,0,317
402,Leti (Indonesia),0,252
403,East Makian,0,308
404,Biak,0,187
405,Ambonese Malay,0,176
406,Banda Malay,0,260
407,Manado Malay,0,41
408,Kupang Malay,0,369
409,Larantuka Malay,0,757
410,North Moluccan Malay,0,79
411,Indonesian,0,556
412,Madurese,0,108
413,Cebuano,0,372
414,Balinese,0,1283
415,Buginese,0,62
416,Coastal-Naga Bikol,0,182
417,Hiligaynon,0,74
418,Pampanga,0,29
419,Minangkabau,0,10
420,Pangasinan,0,15
421,Tengger,0,1226
