,language,delayedRelease,elevation
holo1240,Holoholo,4,798
huaa1248,East Taa,12,1127
huba1236,Huba,10,541
idom1241,Idoma,21,236
igoo1238,Igo,5,722
ikwe1242,Ikwere,9,24
ilok1237,Iloko,3,287
indo1316,Indonesian,9,556
inor1238,Inor,40,2043
irig1241,Irigwe,27,1082
iyiv1238,Iyive,21,380
izer1241,Izere,9,1041
jams1239,Jamsay Dogon,8,280
java1254,Javanese,8,112
jere1244,Jere,9,876
jita1239,Jita,5,1286
jola1262,Jola-Esulalu,7,18
jowu1238,Jowulu,3,512
jumj1238,Jumjum,2,487
kabu1256,Kabuverdianu,7,467
kagf1238,Ut-Main,14,323
kagu1239,Kagulu,7,1176
kahe1238,Kahe,6,707
kaka1265,Kakabe,6,996
kako1242,Kako,7,594
kamb1297,Kamba (Kenya),3,971
kamb1299,Kambera,3,325
kamb1316,Kambaata,15,2120
kamw1239,Kamwe,10,576
kang1288,Kanga,24,473
kara1483,Karamojong,6,1142
kare1338,Kare (Central African Republic),7,997
katc1249,Katcha-Kadugli-Miri,14,473
keig1242,Keiga,4,511
kele1255,Kele-Foma,3,424
keli1248,Keliko,9,1167
keme1240,Kemezung,5,910
kete1252,Kete,4,889
kgal1244,Kgalagadi,17,1046
kima1244,Kimaragang,2,258
kips1239,Kipsigis,4,1984
kisa1263,Kisa,10,1434
kist1241,Kistane,12,2644
kitu1246,Kituba (Democratic Republic of Congo),4,342
koal1240,Koalib-Rere,2,732
kofy1242,Pan,8,242
komo1258,Komo (Sudan),4,767
konk1269,Konkomba,2,149
koor1239,Koorete,23,2321
kosh1246,Koshin,9,812
kota1272,Kotafon Gbe,10,60
koya1253,Koyaga,9,365
koyr1240,Koyra Chiini Songhay,6,264
koyr1242,Koyraboro Senni Songhai,8,261
krac1238,Krache,4,132
krim1238,Krim,5,16
krio1253,Krio,9,11
kron1241,Krongo,5,453
kuan1247,Kuanyama,8,1128
kung1261,North-Central Ju,13,1653
kuny1238,Kunyi,13,159
kuoo1238,Kuo,6,568
kupa1239,Kupang Malay,2,369
kura1250,Kuranko,4,474
kuwa1246,Kuwaataay,7,5
kwam1249,Kwama,4,1286
kwam1250,Kwami,7,708
kwam1251,Kwambi,14,1091
kwan1273,Kwangali,8,1124
kwan1276,Kwanja,6,1014
kway1241,Kwaya,4,1152
kwes1244,Kwese,6,795
kyen1242,Kyenga,5,203
lagw1237,Lagwan,15,300
lama1288,Lamang,14,1015
lang1324,Lango (Uganda),4,1052
lara1260,Larantuka Malay,2,757
lega1249,Lega-Shabunda,7,633
legb1242,Legbo,9,29
lele1266,Lele (Guinea),5,925
lele1276,Lele (Chad),2,399
leng1258,Lengola,5,468
lese1243,Lese,8,973
leti1246,Leti (Indonesia),2,252
libe1240,Kru Pidgin English,8,42
lika1243,Liko,10,763
limb1268,Limbum,31,1057
logb1245,Logba,8,157
logo1259,Logo,5,901
loma1260,Loma (Liberia),5,474
long1387,Longto,3,441
maay1238,Maay,5,496
maba1273,Mabaan,2,428
mach1266,Machame,11,1072
mada1282,Mada (Nigeria),6,470
maka1311,Makasar,2,0
mala1481,Manado Malay,2,41
mamb1296,Mambwe-Lungu,7,1249
mamp1244,Mampruli,7,152
mann1248,Mann,4,244
many1261,Manya,5,568
masa1299,Masaaba,18,1666
matu1259,Matumbi,3,257
mawa1270,Mawa (Chad),4,544
mayo1261,Mayogo,10,760
mbal1255,Mbalanhu,7,1310
mbay1241,Mbay,4,460
mbee1249,Mbe,8,124
mbee1250,Mbe',14,754
mboc1235,Mbo (Cameroon),10,835
mbuk1240,Mbukushu,9,1010
mbuk1243,Mbuko,11,480
mbuu1238,Ajumbu,11,771
meen1242,Me'en,7,1009
mere1246,Merey,11,787
meru1245,Meru,4,1254
mesq1240,Mesqan,12,2134
mfum1238,Southern Mfumte,33,662
mina1268,Minangkabau,8,10
mmaa1238,Mmaala,4,484
moch1256,Mochi,6,892
mofu1248,Mofu-Gudur,11,730
moke1242,Moken,4,0
mokl1243,Moklen,3,17
mokp1239,Mokpwe,6,2301
molo1266,Moloko,11,454
mong1338,Mongo,14,381
mono1269,Mono (Cameroon),8,233
mori1268,Mori Bawah,4,541
mori1278,Morisyen,6,464
moro1284,Morokodo,8,574
moru1253,Moru,5,651
mpad1242,Mpade,9,290
mund1325,Mundang,10,390
mund1328,Mundabli,7,730
muya1243,Muyang,10,410
mwal1237,Mwali Comorian,6,257
mwan1247,Mwani,7,18
myen1241,Myene,8,26
nari1240,Narim,3,578
nate1242,Nateni,3,454
nawu1242,Nawuri,8,120
ncan1245,Ncane,5,960
ndai1238,Ndai,9,636
ndal1241,Ndali,7,1134
ndam1239,Ndamba,7,280
ndog1248,Ndogo,4,460
ndon1254,Ndonga,45,1095
ndzw1235,Ndzwani Comorian,14,547
ngan1300,Ngandyera,12,1079
ngas1238,Ngasa,3,1807
ngaz1238,Ngazidja Comorian,16,475
ngie1241,Ngiemboon,6,1797
ngit1239,Ngiti,12,1617
ngom1272,Ngomba,8,1454
ngwe1238,Ngwe,8,992
nias1242,Nias,7,0
niel1243,Niellim,2,358
nige1253,Hausa States Fulfulde,15,363
njeb1242,Njebi,9,728
njye1238,Njyem,6,595
nkon1248,Nkonya,5,95
nort2795,Zimbabwean Ndebele,27,1179
nort2819,Northern Bobo Madaré,3,467
nort2828,North Moluccan Malay,4,79
nort3047,North Giziga,10,488
ntch1242,Ntcham,7,243
ntom1248,Ntomba,6,292
nucl1440,Masalit,9,815
nucl1460,Madurese,3,108
nucl1683,Daba,10,813
nucl1696,Tangale,11,565
nuer1246,Nuer,3,409
nugu1242,Nugunu (Cameroon),5,481
nyam1277,Nyambo,6,1513
nyam1285,Nyam,9,244
nyol1238,Nyole,7,1066
nzim1238,Nzima,9,19
olub1238,Olu'bo,10,721
opuu1239,T'apo,5,419
orma1241,Orma,6,141
otor1240,Otoro,3,752
otuh1238,Otuho,11,809
palo1243,Palor,6,100
pamp1243,Pampanga,4,29
pang1287,Pangwa,8,1313
pang1290,Pangasinan,3,15
piny1238,Pinyin,13,1841
poko1263,Pökoot,3,1866
prin1242,Principense,6,469
reun1238,Réunion Creole French,10,1722
rong1268,Ronga,28,69
saam1283,Saamia,7,1194
sand1273,Sandawe,9,1208
saot1239,Sãotomense,6,1073
saxw1241,Saxwe Gbe,10,76
saya1246,Saya,14,596
seba1251,Sebat Bet Gurage,39,2272
sekp1241,Sekpele,5,301
sele1249,Selee,3,364
shan1282,Shanga,5,156
sher1258,Sherbro,8,13
shil1265,Shilluk,7,399
shwa1239,Shwai,6,721
siam1242,Siamou,5,542
silt1240,Silt'e,17,2047
siwi1239,Siwi,11,-7
siwu1238,Siwu,5,234
soni1259,Soninke,3,157
sooo1256,Soo,2,1901
sout2790,Southern Birifor,6,218
sout2795,Southern Nuni,9,327
sout2828,Southern Ma'di,12,659
sout2833,South Central Dinka,3,432
sout2918,Southern Sama,2,21
suba1252,Suba-Simbiti,8,1294
suga1248,Nizaa,19,1263
suku1261,Sukuma,12,1166
sumb1240,Sumbwa,9,1204
tach1250,Tachelhit,14,904
tada1238,Tadaksahak,23,313
taga1270,Tagalog,3,93
teee1242,Tee,3,25
teng1272,Tengger,3,1226
tese1238,Tese,2,618
tetu1245,Tetum,3,317
tiag1235,Tiagbamrin Aizi,6,17
tiey1235,Tiéyaxo Bozo,4,275
tigo1236,Tigon Mbembe,35,255
tigr1271,Tigrinya,13,2332
tira1254,Tira,4,638
tivv1240,Tiv,12,208
tong1318,Tonga (Zambia),16,944
tour1242,Toura (Côte d'Ivoire),4,546
tsam1247,Tsamai,18,741
tsot1241,Tsotso,9,1459
tsuv1239,Tsuvadi,7,257
tuki1240,Tuki,6,581
tuli1249,Tulishi,5,623
tumt1243,Tumtum,5,487
tune1261,Tunen,4,708
tuni1251,Tunia,2,364
tupu1244,Tupuri,8,353
uduk1239,Uduk,5,862
umbu1257,Umbundu,6,1239
uppe1455,Upper Guinea Crioulo,6,44
vame1236,Vame,16,412
wand1278,Wandala,18,339
wawa1246,Wawa,7,1214
wehh1238,Weh,17,1065
west2456,Western Xwla Gbe,10,5
west2458,West Central Banda,9,637
wola1242,Wolaytta,10,1324
wong1247,Wongo,3,483
wuzl1236,Wuzlam,13,535
xamt1239,Xamtanga,10,2165
xhos1239,Xhosa,24,1748
xwel1235,Xwela Gbe,10,32
yala1263,Yala,4,65
yans1239,Yansi,4,355
yaoo1241,Yao,5,1194
yemb1246,Yemba,6,1324
yems1235,Yemsa,7,2227
zagh1240,Beria,4,978
zayy1238,Zay,8,1636
zinz1238,Zinza,6,1338
0,Pero,0,319
1,Lumun,0,728
2,Tocho,0,661
3,Luwo,0,496
4,Acoli,0,867
5,Lango (Sudan),0,776
6,Reel,0,431
