,language,short,elevation
220,Komo (Sudan),0,767
221,Uduk,0,862
222,T'apo,0,419
223,Kwama,0,1286
224,Mayogo,0,760
225,Saamia,0,1194
226,Southern Nuni,0,327
227,Zimbabwean Ndebele,0,1179
228,Saxwe Gbe,0,76
229,Narim,0,578
230,Kangaki-Kagbaaga-Kajoko Bidyogo,0,15
231,Dompo,0,228
232,Bambara,0,386
233,Ebang,0,835
234,Koyaga,0,365
235,Shwai,0,721
236,Gaa,0,545
237,Kuanyama,0,1128
238,Mbalanhu,0,1310
239,Kwambi,0,1091
240,Ngandyera,0,1079
241,Konkomba,0,149
242,Beria,0,978
243,Zay,0,1636
244,Bomitaba,0,316
245,Northern Bobo Madaré,0,467
246,Bena (Tanzania),0,1738
247,Guinea Kpelle,0,446
248,Kakabe,0,996
249,Lele (Guinea),0,925
250,Loma (Liberia),0,474
251,Mann,0,244
252,Kyenga,0,203
253,Shanga,0,156
254,Abure,0,4
255,Bankon,0,84
257,Aghem,0,1047
258,Arbore,0,504
259,Abidji,0,96
260,Adioukrou,0,68
261,Tiagbamrin Aizi,0,17
262,Alladian,0,14
263,Ashe,0,667
264,Ngazidja Comorian,0,475
265,Akpes,0,294
266,Eten,0,1256
267,Nuer,0,409
268,Ut-Main,0,323
269,Idoma,0,236
270,Irigwe,0,1082
271,Izere,0,1041
272,Jere,0,876
273,Legbo,0,29
274,Logba,0,157
275,Awngi,0,2024
276,Glavda,0,410
277,Àhàn,0,302
278,Ayere,0,396
279,Ronga,0,69
280,Ndzwani Comorian,0,547
281,Southern Birifor,0,218
282,Kuwaataay,0,5
283,Attié,0,72
284,Angolar,0,104
285,Eastern Oromo,0,1408
286,Upper Guinea Crioulo,0,44
287,Akoose,0,859
288,Bakaka,0,517
289,Mbo (Cameroon),0,835
290,Bassossi,0,325
291,Kru Pidgin English,0,42
292,Gban,0,166
293,Eton-Mengisa,0,516
294,Réunion Creole French,0,1722
295,Masalit,0,815
296,Sãotomense,0,1073
297,Tangale,0,565
298,Sukuma,0,1166
299,Morisyen,0,464
300,Krio,0,11
301,Kituba (Democratic Republic of Congo),0,342
302,Akaselem,0,319
303,Tuki,0,581
304,Baka (Cameroon),0,548
305,Bum,0,1322
306,Daba,0,813
307,Gavar,0,622
308,Gude,0,874
309,Lango (Sudan),0,776
310,Igo,0,722
311,Kako,0,594
312,Kwanja,0,1014
313,Donga Mambila,0,781
314,Merey,0,787
315,Wandala,0,339
316,Chonyi-Dzihana-Kauma,0,65
317,Digo,0,19
318,Duruma,0,221
319,Giryama,0,122
322,Vame,0,412
323,Mmaala,0,484
324,Mpade,0,290
325,Mofu-Gudur,0,730
326,Mbe',0,754
327,Ncane,0,960
328,Southern Mfumte,0,662
329,Njyem,0,595
330,Buamu,0,319
331,Kwami,0,708
332,Guro,0,276
333,Kabuverdianu,0,467
334,Bouna Kulango,0,251
335,Tsamai,0,741
336,Central Moroccan Berber,0,1354
337,Siwi,0,-7
338,Ndamba,0,280
339,Barain,0,395
340,Gaam,0,898
341,Mungbam,0,777
342,Mundabli,0,730
343,Ajumbu,0,771
344,Koshin,0,812
345,Fang (Cameroon),0,749
346,Kuranko,0,474
347,Niellim,0,358
348,North Giziga,0,488
350,Mokpwe,0,2301
351,Siamou,0,542
352,Ngiemboon,0,1797
353,Nugunu (Cameroon),0,481
354,Tigon Mbembe,0,255
355,Orma,0,141
356,Pinyin,0,1841
358,Wuzlam,0,535
359,Lese,0,973
360,Toura (Côte d'Ivoire),0,546
361,Gweno,0,1062
362,Sumbwa,0,1204
363,Zinza,0,1338
364,Meru,0,1254
365,Kahe,0,707
366,Hangaza,0,1353
367,Mochi,0,892
368,Suba-Simbiti,0,1294
369,Kwaya,0,1152
370,Wawa,0,1214
371,Tachelhit,0,904
372,Tunia,0,364
373,Fuliiru,0,1629
374,Sandawe,0,1208
375,Tsuvadi,0,257
376,Ejagham,0,220
377,Yemba,0,1324
378,Bafanji,0,1171
379,Burji,0,1406
380,Anii,0,395
381,Fipa,0,1821
382,Nawuri,0,120
383,Anfillo,0,1472
384,Ntomba,0,292
385,Tumtum,0,487
386,Iyive,0,380
387,Batak Karo,0,7
388,Tagalog,0,93
389,Southern Sama,0,21
390,Kimaragang,0,258
391,Lemeting,0,18
392,Iloko,0,287
393,Eastern Cham,0,24
394,Moklen,0,17
395,Moken,0,0
396,Nias,0,0
397,Javanese,0,112
398,Buol,0,134
399,Makasar,0,0
400,Mori Bawah,0,541
401,Kambera,0,325
402,Tetum,0,317
403,Leti (Indonesia),0,252
404,East Makian,0,308
405,Biak,0,187
406,Ambonese Malay,0,176
407,Banda Malay,0,260
408,Manado Malay,0,41
409,Kupang Malay,0,369
410,Larantuka Malay,0,757
411,North Moluccan Malay,0,79
412,Indonesian,0,556
413,Madurese,0,108
414,Cebuano,0,372
415,Balinese,0,1283
416,Buginese,0,62
417,Coastal-Naga Bikol,0,182
418,Hiligaynon,0,74
419,Pampanga,0,29
420,Minangkabau,0,10
421,Pangasinan,0,15
422,Tengger,0,1226
