,language,syllabic,elevation
luis1253,Luiseno,11,742
luok1236,Luo (Kenya and Tanzania),9,1467
luva1239,Luvale,10,1078
malt1254,Maltese,10,44
mand1415,Mandarin Chinese,12,88
maor1246,Maori,10,451
mapu1245,Mapudungun,6,1538
mara1386,Maranunggu,5,23
marg1265,Marghi Central,6,426
masa1300,Masai,18,1187
maun1240,Mawng,5,28
mezq1235,Mezquital Otomi,13,2391
mode1248,Modern Greek,5,190
moro1292,Moroccan Arabic,4,352
mund1320,Mundari,5,50
naas1242,Naasioi,10,1855
nava1243,Navajo,16,2140
nene1249,Tundra Nenets,8,0
nezp1238,Nez Perce,10,1041
ngas1240,Ngas,10,1130
nobi1240,Nobiin,10,277
nort2697,North Azerbaijani,9,276
nort2745,Northern Yukaghir,12,0
nort2938,Northern Haida,3,80
nort2952,Northeast Maidu,6,1271
norw1259,Norwegian Bokmål,22,20
nucl1235,Eastern Armenian,6,1912
nucl1301,Turkish,16,1138
nucl1302,Georgian,6,1338
nucl1310,Burmese,13,711
nucl1347,Wolof,14,53
nucl1417,Igbo,17,8
nucl1632,Sentani,7,74
nucl1643,Japanese,11,127
nung1290,Wubuy,5,6
nuuc1236,Nuu-chah-nulth,10,614
nyan1301,Nyangumarta,7,260
nyis1236,Nyishi-Hill Miri,9,996
ocai1244,Ocaina,9,114
onei1249,Oneida,12,375
paez1247,Páez,10,3472
panj1256,Eastern Panjabi,20,227
papa1238,Papantla Totonac,6,89
para1311,Paraguayan Guaraní,12,184
plat1254,Plateau Malagasy,5,1653
port1283,Portuguese,15,445
pure1242,Purepecha,6,2340
roma1327,Romanian,7,348
russ1263,Russian,5,185
saba1265,Sa'ban,14,1002
sanm1295,San Miguel El Grande Mixtec,10,2279
seda1262,Sedang,14,1287
sele1250,Selepet,6,759
sene1264,Seneca,16,427
sgaw1245,S'gaw Karen,9,246
shua1257,Shuar,8,1256
sinh1246,Sinhala,16,51
siri1273,Sirionó,12,182
soma1255,Somali,20,211
sout2961,Southern Tiwa,12,1532
sout2982,Southeastern Pomo,11,439
sout2991,South Bolivian Quechua,5,4156
squa1248,Squamish,7,50
stan1288,Spanish,5,1202
stan1290,French,17,124
stan1293,English,13,22
stan1295,German,16,368
stan1306,Standard Malay,6,54
stra1244,Northern Straits Salish,7,490
sund1252,Sundanese,7,493
swah1253,Swahili,7,200
taba1266,Tabasco Chontal,12,3
taga1270,Tagalog,10,93
tamn1235,Tamnim Citak,5,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,4,408
tele1256,Telefol,8,2130
telu1262,Telugu,21,440
tewa1260,Rio Grande Tewa,19,1687
thai1261,Thai,18,3
ticu1245,Ticuna,11,150
tigr1270,Tigre,7,2112
toho1245,Tohono O'odham,10,640
tolo1259,Tolowa-Chetco,15,81
tosk1239,Northern Tosk Albanian,7,88
tuni1252,Tunica,7,40
tzel1254,Tzeltal,5,2091
unam1242,Unami,17,415
viet1252,Vietnamese,11,8
waim1255,Waimaha,12,167
wapi1253,Wapishana,12,130
wayu1243,Wayuu,18,37
west2369,Western Farsi,6,2174
west2650,Western Cham,9,35
wich1260,Wichita,8,390
wikm1247,Wik-Mungkan,10,32
wuch1236,Wu Chinese,12,205
yaku1245,Sakha,16,875
yane1238,Yanesha',6,2474
yuch1247,Yuchi,26,247
yuec1235,Yue Chinese,7,-3
zulu1248,Zulu,7,537
zuni1245,Zuni,10,2210
