,language,long,elevation
19,Kunjen,0,162
20,Mawng,0,28
21,Sentani,0,74
22,Kwoma,0,31
23,Tamnim Citak,0,19
24,Kunimaipa,0,1857
25,Selepet,0,759
26,Northern Haida,0,80
27,Lakota,0,834
28,Tunica,0,40
29,Northeast Maidu,0,1271
30,Copainalá Zoque,0,526
31,Tzeltal,0,2091
32,Purepecha,0,2340
33,Southern Tiwa,0,1532
34,Mezquital Otomi,0,2391
35,Central Mazahua,0,2941
36,Chiquihuitlán Mazatec,0,1897
37,San Miguel El Grande Mixtec,0,2279
38,Cha'palaa,0,122
39,Páez,0,3472
40,Itonama,0,169
41,South Bolivian Quechua,0,4156
42,Mapudungun,0,1538
43,Asháninka,0,497
44,Ignaciano,0,159
45,Shuar,0,1256
46,Waimaha,0,167
47,Ticuna,0,150
48,Sirionó,0,182
49,Paraguayan Guaraní,0,184
50,Amahuaca,0,429
51,Chácobo,0,185
52,Marghi Central,0,426
53,Awngi,0,2024
54,Modern Hebrew,0,515
56,Ga,0,94
57,Ewe,0,114
58,Igbo,0,8
59,Swahili,0,200
60,Zulu,0,537
61,Gbaya-Bossangoa,0,476
62,Central Kanuri,0,314
63,Lugbara,0,1225
64,Luo (Kenya and Tanzania),0,1467
66,Portuguese,0,445
67,Spanish,0,1202
68,Romanian,0,348
69,Russian,0,185
70,Bulgarian,0,98
71,Northern Tosk Albanian,0,88
72,Modern Greek,0,190
73,Eastern Armenian,0,1912
74,Western Farsi,0,2174
75,Bengali,0,8
76,Basque,0,362
77,Eastern Mari,0,45
78,Komi-Zyrian,0,125
79,Kazym-Berezover-Suryskarer Khanty,0,54
80,Tundra Nenets,0,0
81,North Azerbaijani,0,276
82,Chukchi,0,0
83,Hokkaido Ainu,0,216
