,language,delayedRelease,elevation
java1254,Javanese,3,112
kaba1278,Kabardian,30,1234
kala1399,Kalaallisut,14,0
karo1304,Karok,13,676
kash1277,Kashmiri,9,1623
kett1243,Ket,4,176
khan1273,Kazym-Berezover-Suryskarer Khanty,4,54
khar1287,Kharia,6,376
khas1269,Khasi,4,38
kirg1245,Kirghiz,8,3699
komi1268,Komi-Zyrian,14,125
kore1280,Korean,6,154
kota1263,Kota (India),4,1456
koyr1242,Koyraboro Senni Songhai,6,261
kumi1248,Tipai,8,297
kuni1267,Kunimaipa,2,1857
kunj1245,Kunjen,3,162
kuru1302,Kurukh,10,284
kwak1269,Kwak'wala,11,112
kwom1262,Kwoma,8,31
lahu1253,Lahu,8,1476
lakk1238,Lakkia,7,767
lakk1252,Lak,30,2018
lako1247,Lakota,13,834
libe1247,Liberia Kpelle,7,285
lith1251,Lithuanian,15,54
lugb1240,Lugbara,7,1225
luis1253,Luiseno,9,742
luok1236,Luo (Kenya and Tanzania),8,1467
luva1239,Luvale,8,1078
malt1254,Maltese,19,44
mand1415,Mandarin Chinese,12,88
maor1246,Maori,2,451
mapu1245,Mapudungun,5,1538
mara1386,Maranunggu,2,23
marg1265,Marghi Central,16,426
masa1300,Masai,3,1187
maun1240,Mawng,1,28
mezq1235,Mezquital Otomi,11,2391
mode1248,Modern Greek,10,190
moro1292,Moroccan Arabic,29,352
mund1320,Mundari,6,50
nava1243,Navajo,16,2140
nene1249,Tundra Nenets,5,0
nezp1238,Nez Perce,6,1041
ngas1240,Ngas,10,1130
nobi1240,Nobiin,10,277
nort2697,North Azerbaijani,12,276
nort2745,Northern Yukaghir,2,0
nort2938,Northern Haida,11,80
nort2952,Northeast Maidu,2,1271
norw1259,Norwegian Bokmål,5,20
nucl1235,Eastern Armenian,15,1912
nucl1301,Turkish,9,1138
nucl1302,Georgian,14,1338
nucl1310,Burmese,11,711
nucl1347,Wolof,4,53
nucl1417,Igbo,12,8
nucl1632,Sentani,2,74
nucl1643,Japanese,11,127
nuuc1236,Nuu-chah-nulth,13,614
nyan1301,Nyangumarta,1,260
nyis1236,Nyishi-Hill Miri,3,996
ocai1244,Ocaina,11,114
onei1249,Oneida,3,375
paez1247,Páez,12,3472
panj1256,Eastern Panjabi,12,227
papa1238,Papantla Totonac,6,89
para1311,Paraguayan Guaraní,10,184
plat1254,Plateau Malagasy,9,1653
port1283,Portuguese,7,445
pure1242,Purepecha,9,2340
roma1327,Romanian,10,348
russ1263,Russian,13,185
saba1265,Sa'ban,7,1002
sanm1295,San Miguel El Grande Mixtec,8,2279
seda1262,Sedang,6,1287
sele1250,Selepet,2,759
sene1264,Seneca,3,427
sgaw1245,S'gaw Karen,8,246
shua1257,Shuar,5,1256
sinh1246,Sinhala,9,51
siri1273,Sirionó,4,182
soma1255,Somali,8,211
sout2961,Southern Tiwa,6,1532
sout2982,Southeastern Pomo,8,439
sout2991,South Bolivian Quechua,10,4156
squa1248,Squamish,10,50
stan1288,Spanish,8,1202
stan1290,French,7,124
stan1293,English,13,22
stan1295,German,10,368
stan1306,Standard Malay,7,54
stra1244,Northern Straits Salish,13,490
sund1252,Sundanese,4,493
swah1253,Swahili,11,200
taba1266,Tabasco Chontal,8,3
taga1270,Tagalog,4,93
tamn1235,Tamnim Citak,6,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,20,408
tele1256,Telefol,3,2130
telu1262,Telugu,10,440
tewa1260,Rio Grande Tewa,14,1687
thai1261,Thai,5,3
ticu1245,Ticuna,4,150
tigr1270,Tigre,21,2112
toho1245,Tohono O'odham,5,640
tolo1259,Tolowa-Chetco,13,81
tosk1239,Northern Tosk Albanian,15,88
tuni1252,Tunica,5,40
tzel1254,Tzeltal,8,2091
unam1242,Unami,7,415
viet1252,Vietnamese,7,8
waim1255,Waimaha,2,167
wapi1253,Wapishana,5,130
wayu1243,Wayuu,8,37
west2369,Western Farsi,10,2174
west2650,Western Cham,3,35
wich1260,Wichita,8,390
wuch1236,Wu Chinese,8,205
yaku1245,Sakha,11,875
yane1238,Yanesha',10,2474
yuch1247,Yuchi,17,247
yuec1235,Yue Chinese,5,-3
zulu1248,Zulu,12,537
zuni1245,Zuni,16,2210
0,Antakarinya,0,178
1,Wubuy,0,6
2,Wik-Mungkan,0,32
3,Awiyaana,0,1917
4,Naasioi,0,1855
