,language,constrictedGlottis,elevation
viet1252,Vietnamese,3,8
wapi1253,Wapishana,3,130
wayu1243,Wayuu,1,37
west2369,Western Farsi,1,2174
west2650,Western Cham,1,35
wich1260,Wichita,5,390
wikm1247,Wik-Mungkan,1,32
wuch1236,Wu Chinese,1,205
yane1238,Yanesha',1,2474
yuch1247,Yuchi,10,247
yuec1235,Yue Chinese,1,-3
zulu1248,Zulu,5,537
zuni1245,Zuni,14,2210
0,Burushaski,0,3309
1,Telugu,0,440
2,Kota (India),0,1456
3,Kharia,0,376
4,Mandarin Chinese,0,88
5,Plateau Malagasy,0,1653
6,Standard Malay,0,54
7,Batak Toba,0,948
8,Iaai,0,21
9,Maori,0,451
10,Antakarinya,0,178
11,Kunjen,0,162
12,Maranunggu,0,23
13,Wubuy,0,6
14,Sentani,0,74
15,Tamnim Citak,0,19
16,Kunimaipa,0,1857
17,Selepet,0,759
18,Unami,0,415
19,Mapudungun,0,1538
20,Island Carib,0,758
21,Waimaha,0,167
22,Sirionó,0,182
23,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,0,408
24,Awngi,0,2024
25,Liberia Kpelle,0,285
26,Dagbani,0,181
27,Akan,0,166
28,Ga,0,94
29,Ewe,0,114
30,Igbo,0,8
31,Beembe,0,358
32,Swahili,0,200
33,Luvale,0,1078
34,Koyraboro Senni Songhai,0,261
35,Nobiin,0,277
36,Masai,0,1187
37,Irish,0,88
38,Breton,0,143
39,Icelandic,0,0
40,French,0,124
41,Portuguese,0,445
42,Spanish,0,1202
43,Romanian,0,348
44,Russian,0,185
45,Bulgarian,0,98
46,Lithuanian,0,54
47,Northern Tosk Albanian,0,88
48,Modern Greek,0,190
49,Central Pashto,0,1057
50,Kashmiri,0,1623
51,Eastern Panjabi,0,227
52,Bengali,0,8
53,Sinhala,0,51
54,Basque,0,362
55,Eastern Mari,0,45
56,Komi-Zyrian,0,125
57,Hungarian,0,110
58,Kazym-Berezover-Suryskarer Khanty,0,54
59,Kirghiz,0,3699
60,Chuvash,0,95
61,Sakha,0,875
62,Halh Mongolian,0,1305
63,Even,0,0
64,Northern Yukaghir,0,0
65,Nivkh,0,365
