,language,advancedTongueRoot,elevation
158,Siar-Lak,0,556
159,Saraiki,0,121
160,Shawnee,0,313
161,Skou,0,36
162,Thavung,0,150
163,South Efate,0,236
164,Spokane,0,726
165,Sissano,0,15
166,Satawalese,0,0
167,Ulwa,0,9
168,Hupdë,0,156
169,Chimalapa Zoque,0,263
170,Loxicha Zapotec,0,207
171,Yuki,0,681
172,Yapese,0,37
173,Yurok,0,756
174,Yuracaré,0,209
175,Southern Yukaghir,0,0
176,Zhenkang Wa,0,1729
177,Wambon,0,79
178,Washo,0,1925
179,Wayana,0,182
180,Wogeo,0,239
181,Huarijio,0,1203
182,Vai,0,17
183,Ukrainian,0,1349
184,Phalura,0,2948
185,East Makian,0,308
186,Tok Pisin,0,197
187,Baruga,0,63
188,Tatuyo,0,219
189,Tagwana Senoufo,0,311
190,Mazanderani,0,1715
191,Pa'o Karen,0,955
192,Ternate,0,1633
193,Toba,0,139
194,Polish,0,126
195,Mandarin Chinese,0,88
196,Kalabari,0,6
197,Eastern Yiddish,0,187
198,Dutch,0,-3
199,Tamambo,0,157
200,Gayo,0,1067
201,Jamaican Creole English,0,457
202,Mambai,0,229
203,Aragonese,0,657
204,Tilquiapan Zapotec,0,1769
205,Ibibio,0,47
206,Tamil,0,106
207,Zoogocho Zapotec,0,2507
208,Baga Koga,0,17
209,South Nuaulu,0,120
210,Selaru,0,39
211,Tsuvadi,0,257
212,Hanga Hundi,0,54
213,Blang,0,1229
214,Tatana,0,13
215,Tibetan,0,5409
216,Che,0,999
217,Tolowa-Chetco,0,81
218,Pagibete,0,484
219,Choctaw,0,137
220,Michif,0,534
221,Pilagá,0,119
222,Yuchi,0,247
223,Baniwa do Icana,0,152
224,Karitiâna,0,125
225,North Alaskan Inupiatun,0,0
226,San Juan Guelavía Zapotec,0,1612
227,Tzotzil,0,997
228,Sidamo,0,1781
229,West Coast Bajau,0,12
230,Chimariko,0,1740
231,Huehuetla Tepehua,0,331
232,Ute-Southern Paiute,0,1842
233,Dupaninan Agta,0,759
234,Tonga (Tonga Islands),0,16
235,Lake Miwok,0,516
236,Laz,0,1469
237,Juang,0,282
238,Adang,0,316
239,Ambele,0,429
240,Apurinã,0,138
241,Achinese,0,12
242,Antigua and Barbuda Creole English,0,24
243,Aklanon,0,140
244,Arhuaco,0,3650
246,Libyan Arabic,0,584
247,Batak Toba,0,948
248,Baoulé,0,9
249,Bondo,0,100
251,Siksika,0,1232
252,Biloxi,0,81
253,Belize Kriol English,0,33
254,Koasati,0,14
255,Comox,0,42
256,Sochiapam Chinantec,0,682
257,Dimli,0,1667
258,Yekhee,0,296
259,Northern Frisian,0,0
260,Gujari,0,862
261,Kotiria,0,143
262,Hungana-Saamba,0,355
263,Halkomelem,0,94
264,Huastec,0,69
265,Iloko,0,287
266,Kadiwéu,0,86
267,Kutep,0,220
268,Awa-Cuaiquer,0,453
269,Lisu,0,383
270,Loniu,0,75
271,Molale,0,161
272,Matsés,0,151
273,Manipuri,0,312
274,Mandinka,0,45
275,Mocoví,0,64
276,Mam,0,1816
277,Mundurukú,0,108
278,Nisga'a,0,22
279,Eastern Low German,0,67
280,Northern Pame,0,1375
281,Panamint,0,1040
282,Nigerian Pidgin,0,278
283,Northern Pomo,0,360
284,Texistepec Popoluca,0,25
285,Kazym-Berezover-Suryskarer Khanty,0,54
286,Catalan,0,619
287,Croatian Standard,0,92
288,Czech,0,468
289,Galician,0,1107
290,Kabiyé,0,191
291,Mono (Democratic Republic of Congo),0,413
292,Indonesian,0,556
293,Italian,0,530
294,Salasaca Highland Quichua,0,2483
295,Seri,0,188
296,Sindhi,0,20
297,Slovenian,0,1195
298,Swedish,0,27
299,Tukang Besi North,0,137
300,Yine,0,355
301,K'iche',0,1366
302,Huamalíes-Dos de Mayo Huánuco Quechua,0,1471
303,Sipacapense,0,2186
304,Chimborazo Highland Quichua,0,3888
305,Tlachichilco Tepehua,0,323
306,Ambulas,0,101
307,Abau,0,51
308,Qimant,0,1205
309,Akha,0,1109
310,Alyawarr,0,240
311,Amanab,0,412
312,Anuak,0,432
313,Arandai,0,20
314,Bumbita Arapesh,0,204
315,Tanacross,0,0
316,Au,0,356
317,Tinputz,0,181
318,Petats,0,122
319,Patep,0,1111
320,Kela (Papua New Guinea),0,27
321,Sursurunga,0,813
322,Awara,0,1281
323,Awing,0,1972
324,Awtuw,0,241
325,Baba,0,1527
326,Babanki,0,1731
327,Bakoko,0,26
328,Nyong,0,1179
329,Bamunka,0,1171
330,Bangolan,0,1207
331,Batanga,0,46
332,Bariai,0,237
333,Befang,0,573
334,Ida'an,0,64
335,Bemba (Zambia),0,1257
336,Berbice Creole Dutch,0,25
337,Betta Kurumba,0,1042
338,Biak,0,187
339,Bilinarra,0,254
340,Binandere,0,35
341,Southern Bobo Madaré,0,321
342,Bole,0,450
343,Bongo,0,504
344,Boro (Ethiopia),0,840
345,Brokskat,0,3231
346,Baga Sitemu,0,3
347,Bubia,0,166
348,Bukusu,0,1631
349,Subiya,0,933
350,Totela,0,1063
351,Bambalang,0,1150
352,North Marquesan,0,333
353,Önge,0,159
354,Oluta Popoluca,0,62
355,Northern Gyalrong,0,4592
356,Tirma-Chai,0,1104
357,Bilua,0,176
358,Hoava,0,254
359,Filipino,0,46
360,Ngad'a,0,1186
361,Muna,0,76
362,Kéo,0,382
363,Mekens,0,156
364,Tiwi,0,74
365,Torwali,0,4139
366,Thulung,0,2514
367,Tshangla,0,1920
368,Tsafiki,0,440
369,Tz'utujil,0,2101
370,Pwo Northern Karen,0,1113
371,Tuvinian,0,613
372,Kinnauri,0,4637
373,Mewati,0,210
374,Aneityum,0,557
375,Zaiwa,0,1978
376,Chickasaw,0,266
377,Friulian,0,194
378,Jicarilla Apache,0,2401
379,Adamawa Fulfulde,0,370
380,Western Arrarnta,0,621
381,Sanumá,0,121
382,Wari',0,153
383,Crow,0,1014
384,Lyélé,0,275
