,language,consonantal,elevation
eggo1239,Eggon,27,161
ekpe1253,Ekpeye,20,15
elip1238,Elip,16,440
esim1238,Esimbi,26,693
faiw1243,Faiwol,10,1233
fang1246,Fang (Equatorial Guinea),23,625
fili1244,Filipino,14,46
friu1240,Friulian,23,194
furu1242,Furu,28,406
fwee1238,Fwe,46,940
gali1258,Galician,16,1107
gayo1244,Gayo,16,1067
gbar1246,Gbari,21,156
gbay1281,Gbaya-Mbodomo,25,697
gida1247,Gidar,26,394
goli1247,Golin,11,1743
guaj1255,Guajajára,12,308
guan1269,Kotiria,13,143
guja1253,Gujari,29,862
gunw1252,Bininj Kun-Wok,17,72
halk1245,Halkomelem,28,94
hang1263,Hanga Hundi,14,54
haya1250,Haya,16,1435
hoav1238,Hoava,15,254
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,18,1471
huar1255,Huarijio,9,1203
huas1242,Huastec,23,69
huay1240,Huaylas Ancash Quechua,17,4528
hueh1236,Huehuetla Tepehua,23,331
huic1243,Huichol,12,1170
hung1278,Hungana-Saamba,17,355
hupd1244,Hupdë,15,156
iban1261,Ibani,22,5
ibib1240,Ibibio,15,47
idaa1241,Ida'an,15,64
ilok1237,Iloko,14,287
imon1245,Imonda,12,284
indo1316,Indonesian,19,556
ingu1240,Ingush,33,661
iseb1246,Isebe,7,258
ital1282,Italian,21,530
izer1241,Izere,25,1041
jama1261,Madi,7,96
jama1262,Jamaican Creole English,17,457
jauj1238,Jauja Wanca Quechua,19,4697
jeme1245,Towa,33,1733
jiar1240,Northern Gyalrong,47,4592
jica1244,Jicarilla Apache,32,2401
juan1238,Juang,19,282
kabi1261,Kabiyé,19,191
kaby1243,Kabyle,26,482
kadi1248,Kadiwéu,19,86
kala1381,Kalabari,19,6
kama1367,Kamasau,21,96
kano1245,Kanoê,9,142
kara1476,Karadjeri,15,135
kari1301,Karipúna Creole French,19,66
kari1311,Karitiâna,9,125
kaya1329,Kayabí,12,345
kela1255,Kela (Papua New Guinea),14,27
kens1251,Kenswei Nsei,51,1403
keny1279,Kenyang,19,165
keoo1238,Kéo,22,382
khan1273,Kazym-Berezover-Suryskarer Khanty,16,54
khar1287,Kharia,34,376
kich1262,K'iche',20,1366
kima1246,Kimaama,17,6
kinn1249,Kinnauri,28,4637
kiny1244,Kinyarwanda,34,1611
kiri1254,Kirike,21,22
koas1236,Koasati,12,14
koko1269,Kokota,21,44
konn1242,Konni,28,174
kris1246,I'saka,7,542
kulu1253,Kulung (Nepal),19,1775
kuot1243,Kuot,13,564
kusu1250,Kusunda,30,2429
kute1248,Kutep,25,220
kuvi1243,Kuvi,20,554
kwaz1243,Kwaza,26,176
lada1244,Leh-Kenhat,30,5176
lake1258,Lake Miwok,27,516
lang1320,Langi,28,1236
laoo1244,Lao,25,153
lavu1241,Lavukaleve,13,37
lazz1240,Laz,25,1469
leal1235,Lealao Chinantec,25,1326
liby1240,Libyan Arabic,31,584
liji1238,Lijili,26,138
lisu1250,Lisu,23,383
loni1238,Loniu,13,75
loxi1235,Loxicha Zapotec,21,207
luch1239,Luchazi,29,1061
lund1266,Lunda,19,1225
luya1241,Luyi,15,1030
lyel1241,Lyélé,18,275
mace1250,Macedonian,25,919
mada1293,Mada (Cameroon),19,491
madi1261,Madi (Papua New Guinea),42,67
maib1239,Maybrat-Karon,9,114
mako1251,Makonde,16,55
mall1246,Mal,14,996
malo1243,Tamambo,16,157
mamb1294,Mambai,21,229
mamm1241,Mam,31,1816
mana1288,Manange,28,3673
mana1295,Manam,13,1346
mand1415,Mandarin Chinese,21,88
mand1436,Mandinka,16,45
mani1292,Manipuri,22,312
mara1385,Marra,17,10
marw1260,Marwari (India),35,364
matb1237,Matbat,12,158
mats1244,Matsés,13,151
maza1291,Mazanderani,20,1715
medu1238,Medumba,14,1311
mesc1238,Mescalero-Chiricahua Apache,29,2442
mewa1250,Mewati,27,210
mich1243,Michif,22,534
mich1245,Michoacán Nahuatl,17,148
ming1252,Mingrelian,28,109
mmen1238,Mmen,25,925
moco1246,Mocoví,20,64
moke1242,Moken,19,0
mola1238,Molale,19,161
mono1270,Mono (Democratic Republic of Congo),30,413
mose1249,Mosetén-Chimané,24,385
motl1237,Mwotlap,12,31
mpon1254,Mpongmpong,27,594
mufi1238,Mufian,15,173
muna1247,Muna,25,76
mund1330,Mundurukú,14,108
mung1266,Mungaka,18,1374
naga1394,Naga Pidgin,23,1361
naki1238,Naki,34,738
nami1256,Namia,7,63
nand1266,Nandi,11,2146
nang1259,Nangikurrunggurr,18,113
nank1250,Nankina,12,1140
ndem1249,Ndemli,27,115
nepa1253,Nepali Kurux,29,77
ngad1261,Ngad'a,21,1186
ngal1293,Ngalakgan,14,123
ngem1255,Ngemba,27,1220
ngom1271,Ngombale,33,1708
ngos1238,Ngoshie,26,1254
nige1257,Nigerian Pidgin,20,278
ning1273,Ningil,12,418
nisg1240,Nisga'a,27,22
nort2626,Northern Frisian,21,0
nort2627,Eastern Low German,22,67
nort2684,Northern Khmer,21,220
nort2845,North Marquesan,11,333
nort2943,North Alaskan Inupiatun,22,0
nort2954,Northern Paiute,11,1165
nort2966,Northern Pomo,26,360
nort2984,Northern Pame,37,1375
nubi1253,Nubi,27,1134
nucl1290,Zhenkang Wa,25,1729
nucl1634,Skou,10,36
nucl1695,Bole,25,450
nuer1246,Nuer,17,409
nuuc1236,Nuu-chah-nulth,32,614
nyam1276,Nyamwezi,33,1272
nyan1307,Nyankole,19,1431
nyeu1238,Nyeu,17,136
nyon1241,Nyong,20,1179
obol1243,Obolo,20,22
okuu1243,Oku,16,2019
olut1240,Oluta Popoluca,17,62
onge1236,Önge,14,159
orok1266,Oroko,20,386
orok1269,Orokaiva,11,201
osse1243,Ossetian,28,852
pagi1243,Pagibete,39,484
pala1344,Palauan,10,19
pana1305,Panamint,20,1040
paok1235,Pa'o Karen,17,955
pate1247,Patep,27,1111
peta1245,Petats,12,122
phai1238,Prai,14,677
phal1254,Phalura,27,2948
pila1245,Pilagá,15,119
poli1260,Polish,29,126
pwon1235,Pwo Northern Karen,19,1113
qima1242,Qimant,26,1205
quec1382,Quechan,26,36
rama1270,Rama,16,29
rund1242,Rundi,19,1271
saba1268,Sabanê,10,312
saki1248,Mekens,13,156
sala1272,Salasaca Highland Quichua,22,2483
samb1305,Samba Leko,20,912
samo1303,Samo,9,138
samr1245,Samre of Siem Reap,16,32
sanj1284,San Juan Guelavía Zapotec,26,1612
sanm1287,San Mateo del Mar Huave,15,5
sanu1240,Sanumá,9,121
sasa1249,Sasak,16,297
sata1237,Satawalese,27,0
sava1244,Savara,18,260
sayu1241,Sayula Popoluca,17,70
seco1241,Secoya,9,211
seim1238,Seimat,9,0
sela1259,Selaru,11,39
seme1247,Semelai,29,67
sera1259,Saraiki,46,121
seri1257,Seri,17,188
serr1255,Serrano,29,731
shab1252,Shabo,25,1683
shaw1249,Shawnee,11,313
shon1251,Shona,32,1216
siar1238,Siar-Lak,13,556
sida1246,Sidamo,22,1781
siks1238,Siksika,10,1232
sind1272,Sindhi,32,20
sipa1247,Sipacapense,20,2186
siss1243,Sissano,34,15
slov1268,Slovenian,19,1195
soch1239,Sochiapam Chinantec,17,682
sout2750,Southern Yukaghir,19,0
sout2840,Southern Bobo Madaré,18,321
sout2844,Southern Samo,16,276
sout2856,South Efate,13,236
sout2895,South Nuaulu,9,120
spok1245,Spokane,33,726
stan1289,Catalan,21,619
subi1246,Subiya,41,933
suri1267,Tirma-Chai,20,1104
surs1246,Sursurunga,12,813
swed1254,Swedish,16,27
tagw1240,Tagwana Senoufo,20,311
tami1289,Tamil,19,106
tana1290,Tanacross,32,0
taro1264,Seediq,28,1174
tata1257,Tatana,15,13
tatu1247,Tatuyo,8,219
tern1247,Ternate,17,1633
texi1237,Texistepec Popoluca,17,25
thul1246,Thulung,27,2514
tibe1272,Tibetan,21,5409
tilq1235,Tilquiapan Zapotec,21,1769
tinp1237,Tinputz,9,181
tiwi1244,Tiwi,12,74
tlac1235,Tlachichilco Tepehua,21,323
toba1269,Toba,18,139
tokp1240,Tok Pisin,13,197
tolo1259,Tolowa-Chetco,23,81
tong1325,Tonga (Tonga Islands),11,16
torw1241,Torwali,35,4139
tote1238,Totela,39,1063
tsha1245,Tshangla,29,1920
tsuv1239,Tsuvadi,30,257
tuka1248,Tukang Besi North,23,137
tuvi1240,Tuvinian,19,613
tzot1259,Tzotzil,19,997
tzut1248,Tz'utujil,23,2101
ukra1253,Ukrainian,21,1349
ulwa1239,Ulwa,17,9
urii1240,Uri,14,1275
usar1243,Usarufa,13,1982
utes1238,Ute-Southern Paiute,17,1842
vaii1241,Vai,25,17
wamb1259,Wambon,13,79
wari1268,Wari',11,153
wash1253,Washo,21,1925
waya1269,Wayana,6,182
west2441,Western Arrarnta,24,621
west2560,West Coast Bajau,15,12
woge1237,Wogeo,14,239
yalu1240,Yalunka,16,490
yape1248,Yapese,24,37
yawa1260,Yawanawa,11,261
yekh1238,Yekhee,23,296
yeyi1239,Yeyi,72,948
yill1241,Yil,10,818
yine1238,Yine,13,355
yuch1247,Yuchi,33,247
yuki1243,Yuki,19,681
yura1255,Yuracaré,14,209
yuro1248,Yurok,20,756
zaiw1241,Zaiwa,17,1978
zoog1238,Zoogocho Zapotec,26,2507
