,language,epilaryngealSource,elevation
184,East Makian,0,308
185,Tok Pisin,0,197
186,Baruga,0,63
187,Tatuyo,0,219
188,Tagwana Senoufo,0,311
189,Mazanderani,0,1715
190,Pa'o Karen,0,955
191,Ternate,0,1633
192,Toba,0,139
193,Polish,0,126
194,Mandarin Chinese,0,88
195,Kalabari,0,6
196,Eastern Yiddish,0,187
197,Dutch,0,-3
198,Tamambo,0,157
199,Gayo,0,1067
200,Jamaican Creole English,0,457
201,Mambai,0,229
202,Aragonese,0,657
203,Tilquiapan Zapotec,0,1769
204,Ibibio,0,47
205,Tamil,0,106
206,Zoogocho Zapotec,0,2507
207,Baga Koga,0,17
208,South Nuaulu,0,120
209,Selaru,0,39
210,Tsuvadi,0,257
211,Hanga Hundi,0,54
212,Blang,0,1229
213,Tatana,0,13
214,Tibetan,0,5409
215,Che,0,999
216,Tolowa-Chetco,0,81
217,Pagibete,0,484
218,Choctaw,0,137
219,Michif,0,534
220,Pilagá,0,119
221,Yuchi,0,247
222,Baniwa do Icana,0,152
223,Karitiâna,0,125
224,North Alaskan Inupiatun,0,0
225,San Juan Guelavía Zapotec,0,1612
226,Tzotzil,0,997
227,Sidamo,0,1781
228,West Coast Bajau,0,12
229,Chimariko,0,1740
230,Huehuetla Tepehua,0,331
231,Ute-Southern Paiute,0,1842
232,Dupaninan Agta,0,759
233,Tonga (Tonga Islands),0,16
234,Lake Miwok,0,516
235,Laz,0,1469
236,Juang,0,282
237,Adang,0,316
238,Ambele,0,429
239,Apurinã,0,138
240,Achinese,0,12
241,Antigua and Barbuda Creole English,0,24
242,Aklanon,0,140
243,Arhuaco,0,3650
245,Libyan Arabic,0,584
246,Batak Toba,0,948
247,Baoulé,0,9
248,Bondo,0,100
250,Siksika,0,1232
251,Biloxi,0,81
252,Belize Kriol English,0,33
253,Koasati,0,14
254,Comox,0,42
255,Sochiapam Chinantec,0,682
256,Dimli,0,1667
257,Yekhee,0,296
258,Northern Frisian,0,0
259,Gujari,0,862
260,Kotiria,0,143
261,Hungana-Saamba,0,355
262,Halkomelem,0,94
263,Huastec,0,69
264,Iloko,0,287
265,Kadiwéu,0,86
266,Kutep,0,220
267,Awa-Cuaiquer,0,453
268,Lisu,0,383
269,Loniu,0,75
270,Molale,0,161
271,Matsés,0,151
272,Manipuri,0,312
273,Mandinka,0,45
274,Mocoví,0,64
275,Mam,0,1816
276,Mundurukú,0,108
277,Nisga'a,0,22
278,Eastern Low German,0,67
279,Northern Pame,0,1375
280,Panamint,0,1040
281,Nigerian Pidgin,0,278
282,Northern Pomo,0,360
283,Texistepec Popoluca,0,25
284,Kazym-Berezover-Suryskarer Khanty,0,54
285,Catalan,0,619
286,Croatian Standard,0,92
287,Czech,0,468
288,Galician,0,1107
289,Kabiyé,0,191
290,Mono (Democratic Republic of Congo),0,413
291,Indonesian,0,556
292,Italian,0,530
293,Salasaca Highland Quichua,0,2483
294,Seri,0,188
295,Sindhi,0,20
296,Slovenian,0,1195
297,Swedish,0,27
298,Tukang Besi North,0,137
299,Yine,0,355
300,K'iche',0,1366
301,Huamalíes-Dos de Mayo Huánuco Quechua,0,1471
302,Sipacapense,0,2186
303,Chimborazo Highland Quichua,0,3888
304,Tlachichilco Tepehua,0,323
305,Ambulas,0,101
306,Abau,0,51
307,Qimant,0,1205
308,Akha,0,1109
309,Alyawarr,0,240
310,Amanab,0,412
311,Anuak,0,432
312,Arandai,0,20
313,Bumbita Arapesh,0,204
314,Tanacross,0,0
315,Au,0,356
316,Tinputz,0,181
317,Petats,0,122
318,Patep,0,1111
319,Kela (Papua New Guinea),0,27
320,Sursurunga,0,813
321,Awara,0,1281
322,Awing,0,1972
323,Awtuw,0,241
324,Baba,0,1527
325,Babanki,0,1731
326,Bakoko,0,26
327,Nyong,0,1179
328,Bamunka,0,1171
329,Bangolan,0,1207
330,Batanga,0,46
331,Bariai,0,237
332,Befang,0,573
333,Ida'an,0,64
334,Bemba (Zambia),0,1257
335,Berbice Creole Dutch,0,25
336,Betta Kurumba,0,1042
337,Biak,0,187
338,Bilinarra,0,254
339,Binandere,0,35
340,Southern Bobo Madaré,0,321
341,Bole,0,450
342,Bongo,0,504
343,Boro (Ethiopia),0,840
344,Brokskat,0,3231
345,Baga Sitemu,0,3
346,Bubia,0,166
347,Bukusu,0,1631
348,Subiya,0,933
349,Totela,0,1063
350,Bambalang,0,1150
351,North Marquesan,0,333
352,Önge,0,159
353,Oluta Popoluca,0,62
354,Northern Gyalrong,0,4592
355,Tirma-Chai,0,1104
356,Bilua,0,176
357,Hoava,0,254
358,Filipino,0,46
359,Ngad'a,0,1186
360,Muna,0,76
361,Kéo,0,382
362,Mekens,0,156
363,Tiwi,0,74
364,Torwali,0,4139
365,Thulung,0,2514
366,Tshangla,0,1920
367,Tsafiki,0,440
368,Tz'utujil,0,2101
369,Pwo Northern Karen,0,1113
370,Tuvinian,0,613
371,Kinnauri,0,4637
372,Mewati,0,210
373,Aneityum,0,557
374,Zaiwa,0,1978
375,Chickasaw,0,266
376,Friulian,0,194
377,Jicarilla Apache,0,2401
378,Ega,0,109
379,Adamawa Fulfulde,0,370
380,Western Arrarnta,0,621
381,Sanumá,0,121
382,Wari',0,153
383,Crow,0,1014
384,Lyélé,0,275
