,language,long,elevation
112,Hupdë,0,156
113,Chimalapa Zoque,0,263
114,Loxicha Zapotec,0,207
115,Yuki,0,681
116,Yuracaré,0,209
117,Zhenkang Wa,0,1729
118,Wambon,0,79
119,Washo,0,1925
120,Wayana,0,182
121,Wogeo,0,239
122,Huarijio,0,1203
123,Vai,0,17
124,Ukrainian,0,1349
125,Tok Pisin,0,197
126,Baruga,0,63
127,Tatuyo,0,219
128,Mazanderani,0,1715
129,Pa'o Karen,0,955
130,Ternate,0,1633
131,Polish,0,126
132,Mandarin Chinese,0,88
133,Kalabari,0,6
134,Eastern Yiddish,0,187
135,Tamambo,0,157
136,Gayo,0,1067
137,Aragonese,0,657
138,Tilquiapan Zapotec,0,1769
139,Zoogocho Zapotec,0,2507
140,Baga Koga,0,17
141,South Nuaulu,0,120
142,Selaru,0,39
143,Tsuvadi,0,257
144,Hanga Hundi,0,54
145,Blang,0,1229
146,Tatana,0,13
147,Tibetan,0,5409
148,Tolowa-Chetco,0,81
149,Pagibete,0,484
150,Michif,0,534
151,Pilagá,0,119
152,Yuchi,0,247
153,Baniwa do Icana,0,152
154,North Alaskan Inupiatun,0,0
155,Tzotzil,0,997
156,West Coast Bajau,0,12
157,Chimariko,0,1740
158,Dupaninan Agta,0,759
159,Tonga (Tonga Islands),0,16
160,Laz,0,1469
161,Ambele,0,429
162,Achinese,0,12
163,Aklanon,0,140
164,Arhuaco,0,3650
166,Libyan Arabic,0,584
167,Batak Toba,0,948
168,Baoulé,0,9
169,Bondo,0,100
170,Biloxi,0,81
171,Comox,0,42
172,Sochiapam Chinantec,0,682
173,Dimli,0,1667
174,Kotiria,0,143
175,Iloko,0,287
176,Kutep,0,220
177,Awa-Cuaiquer,0,453
178,Lisu,0,383
179,Loniu,0,75
180,Matsés,0,151
181,Manipuri,0,312
182,Mundurukú,0,108
183,Northern Pame,0,1375
184,Nigerian Pidgin,0,278
185,Kazym-Berezover-Suryskarer Khanty,0,54
186,Catalan,0,619
187,Galician,0,1107
188,Mono (Democratic Republic of Congo),0,413
189,Indonesian,0,556
190,Italian,0,530
191,Salasaca Highland Quichua,0,2483
192,Sindhi,0,20
193,Tukang Besi North,0,137
194,Chimborazo Highland Quichua,0,3888
195,Abau,0,51
196,Qimant,0,1205
197,Akha,0,1109
198,Amanab,0,412
199,Arandai,0,20
200,Bumbita Arapesh,0,204
201,Kela (Papua New Guinea),0,27
202,Sursurunga,0,813
203,Awara,0,1281
204,Awtuw,0,241
205,Baba,0,1527
206,Babanki,0,1731
207,Bakoko,0,26
208,Bamunka,0,1171
209,Bangolan,0,1207
210,Batanga,0,46
211,Bariai,0,237
212,Ida'an,0,64
213,Berbice Creole Dutch,0,25
214,Binandere,0,35
215,Boro (Ethiopia),0,840
216,Baga Sitemu,0,3
217,Subiya,0,933
218,Önge,0,159
219,Northern Gyalrong,0,4592
220,Tirma-Chai,0,1104
221,Bilua,0,176
222,Hoava,0,254
223,Ngad'a,0,1186
224,Muna,0,76
225,Kéo,0,382
226,Tiwi,0,74
227,Torwali,0,4139
228,Thulung,0,2514
229,Tshangla,0,1920
230,Tsafiki,0,440
231,Pwo Northern Karen,0,1113
232,Mewati,0,210
233,Aneityum,0,557
234,Zaiwa,0,1978
235,Ega,0,109
236,Western Arrarnta,0,621
237,Sanumá,0,121
238,Wari',0,153
