,language,retractedTongueRoot,elevation
91,Mpongmpong,0,594
92,Mungaka,0,1374
94,Mwotlap,0,31
95,Namia,0,63
96,Ndemli,0,115
97,Mescalero-Chiricahua Apache,0,2442
98,Quechan,0,36
99,Nankina,0,1140
100,Nandi,0,2146
101,Kimaama,0,6
102,Naki,0,738
103,Michoacán Nahuatl,0,148
104,Naga Pidgin,0,1361
105,Ngoshie,0,1254
106,Ngalakgan,0,123
107,Nangikurrunggurr,0,113
108,Isebe,0,258
109,Ngombale,0,1708
110,Nuu-chah-nulth,0,614
111,Northern Khmer,0,220
112,Northern Paiute,0,1165
113,Nubi,0,1134
114,Nuer,0,409
115,Elip,0,440
116,Nyamwezi,0,1272
117,Nyeu,0,136
118,Obolo,0,22
120,Faiwol,0,1233
121,Oku,0,2019
122,Ossetian,0,852
123,Palauan,0,19
124,Orokaiva,0,201
125,Yil,0,818
126,Ningil,0,418
127,Dobu,0,32
128,Samo,0,138
129,Uri,0,1275
130,Boikin,0,235
131,Prai,0,677
132,Mal,0,996
133,Rama,0,29
134,Matbat,0,158
135,Rundi,0,1271
136,Nyankole,0,1431
137,Marwari (India),0,364
138,Samba Leko,0,912
139,Southern Samo,0,276
140,Samre of Siem Reap,0,32
141,Sabanê,0,312
143,Sasak,0,297
144,Savara,0,260
145,Sayula Popoluca,0,70
146,Secoya,0,211
147,Seediq,0,1174
148,Seimat,0,0
149,Semelai,0,67
150,Serrano,0,731
151,Shabo,0,1683
152,Yawanawa,0,261
153,Makonde,0,55
154,Shona,0,1216
155,Bamun,0,960
156,Siar-Lak,0,556
157,Saraiki,0,121
158,Shawnee,0,313
159,Skou,0,36
160,Thavung,0,150
161,South Efate,0,236
162,Spokane,0,726
163,Sissano,0,15
164,Satawalese,0,0
165,Ulwa,0,9
166,Hupdë,0,156
167,Chimalapa Zoque,0,263
168,Loxicha Zapotec,0,207
169,Yuki,0,681
170,Yapese,0,37
171,Yurok,0,756
172,Yuracaré,0,209
173,Southern Yukaghir,0,0
174,Zhenkang Wa,0,1729
175,Wambon,0,79
176,Washo,0,1925
177,Wayana,0,182
178,Wogeo,0,239
179,Huarijio,0,1203
180,Vai,0,17
181,Ukrainian,0,1349
182,Phalura,0,2948
183,East Makian,0,308
184,Tok Pisin,0,197
185,Baruga,0,63
186,Tatuyo,0,219
187,Tagwana Senoufo,0,311
188,Mazanderani,0,1715
189,Pa'o Karen,0,955
190,Ternate,0,1633
191,Toba,0,139
192,Polish,0,126
193,Mandarin Chinese,0,88
194,Kalabari,0,6
195,Eastern Yiddish,0,187
196,Dutch,0,-3
197,Tamambo,0,157
198,Gayo,0,1067
199,Jamaican Creole English,0,457
200,Mambai,0,229
201,Aragonese,0,657
202,Tilquiapan Zapotec,0,1769
203,Ibibio,0,47
204,Tamil,0,106
205,Zoogocho Zapotec,0,2507
206,Baga Koga,0,17
207,South Nuaulu,0,120
208,Selaru,0,39
209,Tsuvadi,0,257
210,Hanga Hundi,0,54
211,Blang,0,1229
212,Tatana,0,13
213,Tibetan,0,5409
214,Che,0,999
215,Tolowa-Chetco,0,81
216,Pagibete,0,484
217,Choctaw,0,137
218,Michif,0,534
219,Pilagá,0,119
220,Yuchi,0,247
221,Baniwa do Icana,0,152
222,Karitiâna,0,125
223,North Alaskan Inupiatun,0,0
224,San Juan Guelavía Zapotec,0,1612
225,Tzotzil,0,997
226,Sidamo,0,1781
227,West Coast Bajau,0,12
228,Chimariko,0,1740
229,Huehuetla Tepehua,0,331
230,Ute-Southern Paiute,0,1842
231,Dupaninan Agta,0,759
232,Tonga (Tonga Islands),0,16
233,Lake Miwok,0,516
234,Laz,0,1469
235,Juang,0,282
236,Adang,0,316
237,Ambele,0,429
238,Apurinã,0,138
239,Achinese,0,12
240,Antigua and Barbuda Creole English,0,24
241,Aklanon,0,140
242,Arhuaco,0,3650
244,Libyan Arabic,0,584
245,Batak Toba,0,948
246,Baoulé,0,9
247,Bondo,0,100
249,Siksika,0,1232
250,Biloxi,0,81
251,Belize Kriol English,0,33
252,Koasati,0,14
253,Comox,0,42
254,Sochiapam Chinantec,0,682
255,Yekhee,0,296
256,Northern Frisian,0,0
257,Gujari,0,862
258,Kotiria,0,143
259,Hungana-Saamba,0,355
260,Halkomelem,0,94
261,Huastec,0,69
262,Iloko,0,287
263,Kadiwéu,0,86
264,Kutep,0,220
265,Awa-Cuaiquer,0,453
266,Lisu,0,383
267,Loniu,0,75
268,Molale,0,161
269,Matsés,0,151
270,Manipuri,0,312
271,Mandinka,0,45
272,Mocoví,0,64
273,Mam,0,1816
274,Mundurukú,0,108
275,Nisga'a,0,22
276,Eastern Low German,0,67
277,Northern Pame,0,1375
278,Panamint,0,1040
279,Nigerian Pidgin,0,278
280,Northern Pomo,0,360
281,Texistepec Popoluca,0,25
282,Kazym-Berezover-Suryskarer Khanty,0,54
283,Catalan,0,619
284,Croatian Standard,0,92
285,Czech,0,468
286,Galician,0,1107
287,Mono (Democratic Republic of Congo),0,413
288,Indonesian,0,556
289,Italian,0,530
290,Salasaca Highland Quichua,0,2483
291,Seri,0,188
292,Sindhi,0,20
293,Slovenian,0,1195
294,Swedish,0,27
295,Tukang Besi North,0,137
296,Yine,0,355
297,K'iche',0,1366
298,Huamalíes-Dos de Mayo Huánuco Quechua,0,1471
299,Sipacapense,0,2186
300,Chimborazo Highland Quichua,0,3888
301,Tlachichilco Tepehua,0,323
302,Ambulas,0,101
303,Abau,0,51
304,Qimant,0,1205
305,Akha,0,1109
306,Alyawarr,0,240
307,Amanab,0,412
308,Anuak,0,432
309,Arandai,0,20
310,Bumbita Arapesh,0,204
311,Tanacross,0,0
312,Au,0,356
313,Tinputz,0,181
314,Petats,0,122
315,Patep,0,1111
316,Kela (Papua New Guinea),0,27
317,Sursurunga,0,813
318,Awara,0,1281
319,Awing,0,1972
320,Awtuw,0,241
321,Baba,0,1527
322,Babanki,0,1731
323,Bakoko,0,26
324,Nyong,0,1179
325,Bamunka,0,1171
326,Bangolan,0,1207
327,Batanga,0,46
328,Bariai,0,237
329,Befang,0,573
330,Ida'an,0,64
331,Bemba (Zambia),0,1257
332,Berbice Creole Dutch,0,25
333,Betta Kurumba,0,1042
334,Biak,0,187
335,Bilinarra,0,254
336,Binandere,0,35
337,Southern Bobo Madaré,0,321
338,Bole,0,450
339,Bongo,0,504
340,Boro (Ethiopia),0,840
341,Brokskat,0,3231
342,Baga Sitemu,0,3
343,Bubia,0,166
344,Bukusu,0,1631
345,Subiya,0,933
346,Totela,0,1063
347,Bambalang,0,1150
348,North Marquesan,0,333
349,Önge,0,159
350,Oluta Popoluca,0,62
351,Northern Gyalrong,0,4592
352,Tirma-Chai,0,1104
353,Bilua,0,176
354,Hoava,0,254
355,Filipino,0,46
356,Ngad'a,0,1186
357,Muna,0,76
358,Kéo,0,382
359,Mekens,0,156
360,Tiwi,0,74
361,Torwali,0,4139
362,Thulung,0,2514
363,Tshangla,0,1920
364,Tsafiki,0,440
365,Tz'utujil,0,2101
366,Pwo Northern Karen,0,1113
367,Tuvinian,0,613
368,Kinnauri,0,4637
369,Mewati,0,210
370,Aneityum,0,557
371,Zaiwa,0,1978
372,Chickasaw,0,266
373,Friulian,0,194
374,Jicarilla Apache,0,2401
375,Adamawa Fulfulde,0,370
376,Western Arrarnta,0,621
377,Sanumá,0,121
378,Wari',0,153
379,Crow,0,1014
380,Lyélé,0,275
