,language,constrictedGlottis,elevation
samb1305,Samba Leko,1,912
samr1245,Samre of Siem Reap,1,32
sanj1284,San Juan Guelavía Zapotec,6,1612
sasa1249,Sasak,1,297
seco1241,Secoya,1,211
sela1259,Selaru,1,39
seme1247,Semelai,1,67
seri1257,Seri,1,188
serr1255,Serrano,1,731
shab1252,Shabo,5,1683
shaw1249,Shawnee,1,313
sida1246,Sidamo,5,1781
siks1238,Siksika,1,1232
sipa1247,Sipacapense,7,2186
siss1243,Sissano,5,15
soch1239,Sochiapam Chinantec,1,682
sout2750,Southern Yukaghir,1,0
sout2895,South Nuaulu,1,120
spok1245,Spokane,16,726
tana1290,Tanacross,6,0
tata1257,Tatana,1,13
tern1247,Ternate,1,1633
texi1237,Texistepec Popoluca,1,25
thul1246,Thulung,1,2514
tibe1272,Tibetan,1,5409
tinp1237,Tinputz,1,181
tlac1235,Tlachichilco Tepehua,7,323
toba1269,Toba,1,139
tokp1240,Tok Pisin,1,197
tolo1259,Tolowa-Chetco,6,81
tong1325,Tonga (Tonga Islands),1,16
tsuv1239,Tsuvadi,3,257
tuka1248,Tukang Besi North,1,137
tzot1259,Tzotzil,6,997
tzut1248,Tz'utujil,7,2101
usar1243,Usarufa,1,1982
utes1238,Ute-Southern Paiute,1,1842
wari1268,Wari',3,153
wash1253,Washo,5,1925
west2560,West Coast Bajau,1,12
yape1248,Yapese,11,37
yuch1247,Yuchi,14,247
yuki1243,Yuki,12,681
yura1255,Yuracaré,1,209
yuro1248,Yurok,6,756
zaiw1241,Zaiwa,1,1978
zoog1238,Zoogocho Zapotec,10,2507
0,Fwe,0,940
1,Yeyi,0,948
2,Cavineña,0,173
3,Eastern Mari,0,45
4,Chrau,0,182
5,Cuvok,0,718
6,Denya,0,133
8,Eggon,0,161
9,Ekpeye,0,15
11,Esimbi,0,693
12,Furu,0,406
13,Karadjeri,0,135
14,Golin,0,1743
15,Haya,0,1435
16,Huaylas Ancash Quechua,0,4528
17,San Mateo del Mar Huave,0,5
18,Jauja Wanca Quechua,0,4697
19,Luyi,0,1030
20,Ibani,0,5
21,Imonda,0,284
22,I'saka,0,542
23,Yalunka,0,490
24,Izere,0,1041
25,Madi,0,96
26,Kabyle,0,482
27,Kanoê,0,142
28,Kenswei Nsei,0,1403
29,Eastern Karaboro,0,264
30,Karipúna Creole French,0,66
31,Kenyang,0,165
32,Kharia,0,376
33,Kinyarwanda,0,1611
34,Kirike,0,22
35,Kokota,0,44
36,Bakole,0,31
37,Konni,0,174
38,Kuot,0,564
39,Leh-Kenhat,0,5176
40,Lavukaleve,0,37
41,Lunda,0,1225
42,Luchazi,0,1061
43,Oroko,0,386
44,Macedonian,0,919
45,Mada (Cameroon),0,491
46,Manam,0,1346
47,Bamenyam,0,1222
48,Marra,0,10
49,Maybrat-Karon,0,114
50,Gbaya-Mbodomo,0,697
51,Medumba,0,1311
52,Mpongmpong,0,594
53,Mwotlap,0,31
54,Namia,0,63
55,Nankina,0,1140
56,Nandi,0,2146
57,Naki,0,738
58,Naga Pidgin,0,1361
59,Nangikurrunggurr,0,113
60,Isebe,0,258
61,Ngombale,0,1708
62,Nuer,0,409
63,Elip,0,440
64,Nyamwezi,0,1272
65,Obolo,0,22
67,Faiwol,0,1233
68,Oku,0,2019
69,Orokaiva,0,201
70,Yil,0,818
71,Samo,0,138
72,Uri,0,1275
73,Boikin,0,235
74,Rama,0,29
75,Matbat,0,158
76,Rundi,0,1271
77,Nyankole,0,1431
78,Marwari (India),0,364
79,Southern Samo,0,276
80,Savara,0,260
81,Sayula Popoluca,0,70
82,Seediq,0,1174
83,Seimat,0,0
84,Yawanawa,0,261
85,Makonde,0,55
86,Shona,0,1216
87,Siar-Lak,0,556
88,Saraiki,0,121
89,Skou,0,36
90,South Efate,0,236
91,Satawalese,0,0
92,Ulwa,0,9
93,Loxicha Zapotec,0,207
94,Wambon,0,79
95,Wayana,0,182
96,Wogeo,0,239
97,Vai,0,17
98,Ukrainian,0,1349
99,Phalura,0,2948
100,Baruga,0,63
101,Tatuyo,0,219
102,Tagwana Senoufo,0,311
103,Mazanderani,0,1715
104,Polish,0,126
105,Mandarin Chinese,0,88
106,Kalabari,0,6
107,Tamambo,0,157
108,Jamaican Creole English,0,457
109,Aragonese,0,657
110,Tilquiapan Zapotec,0,1769
111,Ibibio,0,47
112,Tamil,0,106
113,Baga Koga,0,17
114,Hanga Hundi,0,54
115,Che,0,999
116,Pagibete,0,484
117,Choctaw,0,137
118,Michif,0,534
119,Baniwa do Icana,0,152
120,Karitiâna,0,125
121,Juang,0,282
122,Ambele,0,429
123,Apurinã,0,138
124,Antigua and Barbuda Creole English,0,24
125,Baoulé,0,9
127,Biloxi,0,81
128,Belize Kriol English,0,33
129,Dimli,0,1667
130,Yekhee,0,296
131,Northern Frisian,0,0
132,Gujari,0,862
133,Hungana-Saamba,0,355
134,Kadiwéu,0,86
135,Kutep,0,220
136,Awa-Cuaiquer,0,453
137,Loniu,0,75
138,Matsés,0,151
139,Manipuri,0,312
140,Mandinka,0,45
141,Eastern Low German,0,67
142,Nigerian Pidgin,0,278
143,Kazym-Berezover-Suryskarer Khanty,0,54
144,Catalan,0,619
145,Croatian Standard,0,92
146,Czech,0,468
147,Galician,0,1107
148,Kabiyé,0,191
149,Italian,0,530
150,Salasaca Highland Quichua,0,2483
151,Sindhi,0,20
152,Slovenian,0,1195
153,Swedish,0,27
154,Yine,0,355
155,Huamalíes-Dos de Mayo Huánuco Quechua,0,1471
156,Ambulas,0,101
157,Abau,0,51
158,Qimant,0,1205
159,Alyawarr,0,240
160,Amanab,0,412
161,Anuak,0,432
162,Arandai,0,20
163,Au,0,356
164,Petats,0,122
165,Patep,0,1111
166,Kela (Papua New Guinea),0,27
167,Sursurunga,0,813
168,Awtuw,0,241
169,Baba,0,1527
170,Bakoko,0,26
171,Nyong,0,1179
172,Batanga,0,46
173,Bariai,0,237
174,Bemba (Zambia),0,1257
175,Berbice Creole Dutch,0,25
176,Betta Kurumba,0,1042
177,Biak,0,187
178,Bilinarra,0,254
179,Binandere,0,35
180,Southern Bobo Madaré,0,321
181,Bongo,0,504
182,Boro (Ethiopia),0,840
183,Brokskat,0,3231
184,Baga Sitemu,0,3
185,Bubia,0,166
186,Bukusu,0,1631
187,Subiya,0,933
188,Totela,0,1063
189,Northern Gyalrong,0,4592
190,Tirma-Chai,0,1104
191,Bilua,0,176
192,Hoava,0,254
193,Muna,0,76
194,Tiwi,0,74
195,Torwali,0,4139
196,Tshangla,0,1920
197,Tuvinian,0,613
198,Kinnauri,0,4637
199,Mewati,0,210
200,Friulian,0,194
201,Ega,0,109
202,Western Arrarnta,0,621
203,Sanumá,0,121
204,Crow,0,1014
205,Lyélé,0,275
