,language,constrictedGlottis,elevation
uruu1244,Uru,5,3822
vile1241,Vilela,6,54
waim1253,Waimiri-Atroari,1,83
wapi1253,Wapishana,1,130
wari1268,Wari',3,153
waya1270,Wayampi,2,204
wayu1243,Wayuu,1,37
wich1262,Wichí Lhamtés Nocten,5,656
woun1238,Woun Meu,1,62
xava1240,Xavánte,1,323
xeta1241,Xetá,1,690
xing1248,Xingú Asuriní,1,184
xiri1243,Xiriâna,1,263
xokl1240,Xokleng,1,794
yane1238,Yanesha',3,2474
yucu1253,Yucuna,1,164
yuhu1238,Yuhup,8,109
yukp1241,Yukpa,1,1989
yuqu1240,Yuqui,1,208
yura1255,Yuracaré,1,209
zapa1253,Záparo,1,207
zoee1240,Zo'é,1,87
0,Mapudungun,0,1538
1,Apurinã,0,138
2,Lokono,0,7
3,Asháninka,0,497
4,Ajyíninka Apurucayali,0,500
5,Ashéninka Perené,0,956
6,Pichis Ashéninka,0,1033
7,Ucayali-Yurúa Ashéninka,0,324
8,Baniwa do Icana,0,152
9,Baré,0,100
10,Caquinte,0,795
11,Enawené-Nawé,0,371
12,Machinere,0,249
13,Machiguenga,0,2191
14,Mehináku,0,314
15,Nanti,0,1607
16,Nomatsiguenga,0,890
17,Palikúr,0,42
18,Paraujano,0,65
19,Parecís,0,384
20,Tariana,0,114
21,Baniva de Maroa,0,109
22,Waurá,0,362
23,Yavitero,0,120
24,Yawalapití,0,331
25,Yine,0,355
26,Madi,0,96
27,Suruahá,0,124
28,Awa-Cuaiquer,0,453
29,Pará Arára,0,181
30,Carijona,0,228
31,Hixkaryána,0,341
32,Ikpeng,0,335
33,Kuikúro-Kalapálo,0,283
34,Trió,0,638
35,Waiwai,0,409
36,Wayana,0,182
37,Yabarana,0,808
38,Barí,0,87
39,Chibcha,0,212
40,Border Kuna,0,460
41,Malayo,0,2877
42,Emberá-Baudó,0,263
43,Emberá-Chamí,0,1906
44,Northern Emberá,0,234
45,Cocama-Cocamilla,0,93
46,Cuiba,0,98
47,Guahibo,0,88
48,Guayabero,0,177
49,Macaguán,0,150
50,Abipon,0,65
51,Kadiwéu,0,86
52,Andoque,0,181
53,Camsá,0,2387
54,Candoshi-Shapra,0,145
55,Cayubaba,0,141
56,Mochica,0,379
57,Urarina,0,125
58,Waorani,0,259
59,Warao,0,26
60,Yámana,0,279
61,Shuar,0,1256
62,Katukína,0,174
63,Bororo,0,180
64,Guató,0,101
65,Djeoromitxí,0,164
66,Kaingang,0,662
67,Karajá,0,184
68,Krahô,0,231
69,Krikati-Timbira,0,332
70,Puri,0,1737
71,Rikbaktsa,0,248
72,Suyá,0,283
73,Umotína,0,135
74,Xerénte,0,305
75,Fulniô,0,391
76,São Paulo Kaingáng,0,736
77,Sharanahua,0,329
78,Cashinahua,0,279
79,Panoan Katukína,0,239
80,Kaxararí,0,157
81,Korubo,0,145
82,Matís,0,76
83,Matsés,0,151
84,Nukuini,0,244
85,Panobo,0,534
86,Poyanáwa,0,215
87,Siang,0,52
88,Shall-Zwall,0,578
90,Yaminahua,0,322
91,Yawanawa,0,261
92,Yora,0,569
93,Yagua,0,97
94,Yameo,0,143
95,Corongo Ancash Quechua,0,3515
96,Cajamarca Quechua,0,3238
97,Chachapoyas Quechua,0,2477
98,Lambayeque Quechua,0,1886
99,Imbabura Highland Quichua,0,3424
100,Inga,0,2471
101,Jungle Inga,0,371
102,Jauja Wanca Quechua,0,4697
103,North Junín Quechua,0,4270
104,Ayacucho Quechua,0,3504
105,Huallaga Huánuco Quechua,0,1221
106,Northern Conchucos Ancash Quechua,0,3530
107,San Martín Quechua,0,950
108,Santiago del Estero Quichua,0,138
109,Napo Lowland Quechua,0,262
110,Salasaca Highland Quichua,0,2483
111,Tena Lowland Quichua,0,978
112,Sáliba,0,119
113,Araona,0,199
114,Cavineña,0,173
115,Reyesano,0,254
116,Tacana,0,207
117,Barasana-Eduria,0,238
118,Cubeo,0,192
119,Desano,0,149
120,Carapana,0,126
121,Macuna,0,169
122,Maijiki,0,144
123,Siriano,0,186
124,Tatuyo,0,219
125,Tuyuca,0,182
126,Waimaha,0,167
127,Yurutí,0,176
128,Avá-Canoeiro,0,540
129,Eastern Bolivian Guaraní,0,272
130,Karitiâna,0,125
131,Makuráp,0,193
132,Omagua,0,71
133,Mekens,0,156
134,Xipaya,0,90
135,Sirionó,0,182
136,Mato Grosso Arára,0,138
137,Hoti,0,848
138,Kanoê,0,142
139,Karirí-Xocó,0,163
140,Murui Huitoto,0,165
141,Ninam,0,575
142,Sanumá,0,121
143,Yanomámi,0,341
144,Yanomamö,0,548
145,Arabela,0,182
146,Iquito,0,135
147,Pisamira,0,181
