,language,lateral,elevation
mala1522,Malayo,1,2877
mama1278,Mamaindé,1,578
mapu1245,Mapudungun,3,1538
mehi1240,Mehináku,1,314
moch1259,Mochica,2,379
moco1246,Mocoví,2,64
movi1243,Movima,2,146
muni1258,Muniche,1,182
napo1242,Napo Lowland Quechua,2,262
niva1238,Nivaclé,1,209
nort2976,North Bolivian Quechua,2,2814
nort2979,Northern Conchucos Ancash Quechua,2,3530
nort2980,North Junín Quechua,6,4270
nucl1668,Katukína,1,174
olub1238,Olu'bo,2,721
onaa1245,Selk'nam,1,108
paez1247,Páez,2,3472
para1310,Pará Arára,1,181
para1311,Paraguayan Guaraní,1,184
para1316,Paraujano,1,65
pare1272,Parecís,1,384
piap1246,Piapoco,1,126
pila1245,Pilagá,2,119
puel1244,Puelche,3,121
qawa1238,Qawasqar,3,80
reye1240,Reyesano,1,254
saba1268,Sabanê,1,312
sala1272,Salasaca Highland Quichua,1,2483
sali1298,Sáliba,1,119
sanm1289,San Martín Quechua,1,950
sant1432,Santiago del Estero Quichua,1,138
sanu1240,Sanumá,2,121
suru1262,Suruí,1,204
tari1256,Tariana,1,114
tehu1242,Tehuelche,1,299
tena1240,Tena Lowland Quichua,2,978
tere1279,Terena-Kinikinao-Chane,1,233
toba1269,Toba,4,139
trum1247,Trumai,2,284
umot1240,Umotína,1,135
urar1246,Urarina,1,125
uruu1244,Uru,1,3822
vile1241,Vilela,2,54
waiw1244,Waiwai,1,409
waur1244,Waurá,1,362
wayu1243,Wayuu,1,37
wich1262,Wichí Lhamtés Nocten,2,656
xipa1240,Xipaya,1,90
xokl1240,Xokleng,1,794
yama1264,Yámana,1,279
yame1242,Yameo,1,143
yane1238,Yanesha',1,2474
yavi1244,Yavitero,2,120
yawa1261,Yawalapití,2,331
yine1238,Yine,1,355
yucu1253,Yucuna,1,164
yura1255,Yuracaré,1,209
0,Apurinã,0,138
1,Asháninka,0,497
2,Ajyíninka Apurucayali,0,500
3,Ashéninka Perené,0,956
4,Pichis Ashéninka,0,1033
5,Ucayali-Yurúa Ashéninka,0,324
6,Baré,0,100
7,Cabiyarí,0,185
8,Caquinte,0,795
9,Machinere,0,249
10,Machiguenga,0,2191
11,Nanti,0,1607
12,Nomatsiguenga,0,890
13,Palikúr,0,42
14,Resígaro,0,127
15,Wapishana,0,130
16,Xiriâna,0,263
17,Baure,0,137
18,Ignaciano,0,159
19,Deni,0,144
20,Madi,0,96
21,Culina,0,224
22,Paumari,0,41
23,Suruahá,0,124
24,Bora,0,70
26,Muinane,0,177
27,Shawi,0,1083
28,Akurio,0,205
29,Apalaí,0,354
30,Carijona,0,228
31,Akawaio,0,970
32,Japrería,0,859
33,Kaxuiâna,0,346
34,Macushi,0,387
35,Mapoyo,0,200
36,Maquiritari,0,1193
37,Panare,0,52
38,Pemon,0,838
39,Pémono,0,169
40,Trió,0,638
41,Waimiri-Atroari,0,83
42,Wayana,0,182
43,Yabarana,0,808
44,Oro Win,0,381
45,Wari',0,153
46,Arhuaco,0,3650
47,Barí,0,87
48,Chibcha,0,212
49,Cofán,0,342
50,Central Tunebo,0,560
51,Woun Meu,0,62
52,Emberá-Catío,0,14
53,Emberá-Chamí,0,1906
54,Northern Emberá,0,234
55,Epena,0,22
56,Cocama-Cocamilla,0,93
57,Cuiba,0,98
58,Amarakaeri,0,266
59,Andoque,0,181
60,Candoshi-Shapra,0,145
61,Cayubaba,0,141
62,Puinave,0,77
63,Taushiro,0,212
64,Ticuna,0,150
65,Tinigua,0,264
66,Waorani,0,259
67,Warao,0,26
68,Achuar-Shiwiar,0,251
69,Aguaruna,0,1526
70,Huambisa,0,1193
71,Shuar,0,1256
72,Nukak Makú,0,227
73,Apinayé,0,229
74,Arikapú,0,191
75,Bororo,0,180
76,Canela-Krahô,0,298
77,Chiquitano,0,315
78,Pará Gavião,0,128
79,Guató,0,101
80,Djeoromitxí,0,164
81,Kaingang,0,662
82,Kayapó,0,403
83,Krenak,0,188
84,Krikati-Timbira,0,332
85,Maxakalí,0,294
86,Ofayé,0,344
87,Panará,0,309
88,Puri,0,1737
89,Rikbaktsa,0,248
90,Suyá,0,283
91,Xavánte,0,323
92,Xerénte,0,305
93,São Paulo Kaingáng,0,736
94,Mosetén-Chimané,0,385
95,Pirahã,0,75
96,Hupdë,0,156
97,Nadëb,0,79
98,Yuhup,0,109
99,Amahuaca,0,429
100,Sharanahua,0,329
101,Capanahua,0,189
102,Cashibo-Cacataibo,0,285
103,Chácobo,0,185
104,Cashinahua,0,279
105,Panoan Katukína,0,239
106,Matís,0,76
107,Matsés,0,151
108,Nukuini,0,244
109,Panobo,0,534
110,Poyanáwa,0,215
111,Siang,0,52
112,Shall-Zwall,0,578
114,Yaminahua,0,322
115,Yawanawa,0,261
116,Yora,0,569
117,Yagua,0,97
118,Piaroa,0,92
119,Ese Ejja,0,221
120,Tacana,0,207
121,Barasana-Eduria,0,238
122,Cubeo,0,192
123,Desano,0,149
124,Kotiria,0,143
125,Carapana,0,126
126,Koreguaje,0,245
127,Macuna,0,169
128,Maijiki,0,144
129,Wa'ikhana,0,143
130,Secoya,0,211
131,Siona-Tetete,0,236
132,Siriano,0,186
133,Tanimuca-Retuarã,0,128
134,Tatuyo,0,219
135,Tucano,0,144
136,Tuyuca,0,182
137,Waimaha,0,167
138,Yurutí,0,176
139,Aché,0,158
140,Akuntsu,0,352
141,Amundava,0,115
142,Apiaká,0,142
143,Araweté,0,207
144,Xingú Asuriní,0,184
145,Tocantins Asurini,0,99
146,Avá-Canoeiro,0,540
147,Eastern Bolivian Guaraní,0,272
148,Teko,0,168
149,Guajá,0,138
150,Guajajára,0,308
151,Mbyá Guaraní,0,524
152,Guarayu,0,353
153,Júma,0,68
154,Urubú-Kaapor,0,95
155,Kaiwá,0,306
156,Kamayurá,0,311
157,Karitiâna,0,125
159,Kayabí,0,345
160,Kuruáya,0,149
161,Makuráp,0,193
162,Mundurukú,0,108
163,Nhengatu,0,109
164,Omagua,0,71
165,Pai Tavytera,0,284
166,Parakanã,0,177
167,Mekens,0,156
168,Sateré-Mawé,0,58
169,Tapieté,0,304
170,Tapirapé,0,181
171,Tenetehara,0,54
172,Tenharim-Parintintin-Diahoi,0,96
173,Tuparí,0,247
174,Tupinambá,0,70
175,Uru-Eu-Wau-Wau,0,251
176,Wayampi,0,204
177,Xetá,0,690
178,Zo'é,0,87
179,Sirionó,0,182
180,Yuqui,0,208
181,Aikanã,0,520
182,Mato Grosso Arára,0,138
183,Hoti,0,848
184,Kanoê,0,142
185,Pumé,0,53
186,Minica Huitoto,0,162
187,Murui Huitoto,0,165
188,Nonuya,0,155
189,Ocaina,0,114
190,Ninam,0,575
191,Yanomámi,0,341
192,Yanomamö,0,548
193,Ayoreo,0,235
194,Andoa,0,225
195,Arabela,0,182
196,Iquito,0,135
197,Záparo,0,207
198,Chiripá,0,202
199,Pisamira,0,181
200,Pacahuara,0,152
201,Yukpa,0,1989
202,Trinitario,0,165
