,language,delayedRelease,elevation
guin1254,Guinea Kpelle,8,446
hain1253,Hainyaxo Bozo,6,283
hang1258,Hanga,7,153
haus1257,Hausa,17,600
ifee1241,Ifè,7,214
iged1239,Igede,7,76
igoo1238,Igo,7,722
izii1239,Izi,14,72
jola1263,Jola-Fonyi,3,31
jurm1239,Jur Modo,6,492
kabi1261,Kabiyé,7,191
kako1242,Kako,4,594
kara1478,Karang,7,596
kase1253,Kasem,13,277
kiku1240,Kikuyu,5,2715
kita1249,Kita Maninkakan,5,344
kitu1245,Kituba (Congo),5,466
komc1235,Kom (Cameroon),23,1789
komo1260,Komo (Democratic Republic of Congo),2,586
konk1269,Konkomba,5,149
koon1245,Koonzime,5,675
koyr1240,Koyra Chiini Songhay,7,264
krio1253,Krio,7,11
kuri1259,Kuria,5,1176
kusa1250,Kusaal,5,173
lako1244,Lakota Dida,6,165
lama1275,Lama (Togo),4,457
lamn1239,Lamnso',9,1352
lele1276,Lele (Chad),4,399
lend1245,Lendu,15,1676
libe1247,Liberia Kpelle,5,285
ligb1244,Ligbi,7,315
limb1268,Limbum,8,1057
ling1263,Lingala,3,342
loko1255,Loko,4,90
loma1260,Loma (Liberia),8,474
lugb1240,Lugbara,7,1225
lukp1238,Lukpa,5,397
luok1236,Luo (Kenya and Tanzania),6,1467
lyel1241,Lyélé,7,275
maas1239,Maasina Fulfulde,6,298
madi1260,Ma'di,6,1387
maka1304,Makaa,11,693
mama1271,Mamara Senoufo,10,323
mamp1244,Mampruli,4,152
mang1394,Mangbetu,11,736
mboc1235,Mbo (Cameroon),5,835
mend1266,Mende (Sierra Leone),5,172
meta1238,Meta',7,1032
mofu1248,Mofu-Gudur,11,730
moss1236,Mossi,5,157
mund1326,Mündü,7,872
mund1327,Mundani,6,321
murl1244,Murle,4,452
mwag1236,Mwaghavul,9,1330
mwan1250,Mwan,4,281
nafa1258,Nafaanra,8,307
nawd1238,Nawdm,5,333
ngam1268,Ngambay,4,479
ngan1299,Ngangam,5,161
ngas1240,Ngas,10,1130
ngba1285,Ngbaka Minagende,5,363
ngie1241,Ngiemboon,6,1797
nige1255,Western Mambila,8,1281
noma1260,Nomaande,3,759
nort2765,Northern Kissi,6,416
nort2774,Northern Ngbandi,5,404
nort2775,Northwest Gbaya,5,961
nort2780,Northern Dagara,8,305
nort2784,Northern Nuni,7,285
nort2787,Northern Toussian,3,417
nort2810,Northern Grebo,4,205
nort2819,Northern Bobo Madaré,6,467
ntch1242,Ntcham,4,243
nucl1347,Wolof,8,53
nucl1417,Igbo,9,8
nucl1418,Bassa,7,56
nucl1683,Daba,11,813
nugu1242,Nugunu (Cameroon),3,481
nupe1254,Nupe-Nupe-Tako,11,127
nyab1255,Nyabwa,4,254
park1239,Parkwa,10,541
pula1262,Pular,7,123
pula1263,Pulaar,6,47
rend1243,Rendille,7,532
saba1262,Sabaot,2,3036
sang1328,Sango,14,503
sena1262,Senara Sénoufo,6,361
sere1260,Sereer,4,4
siss1242,Sissala of Burkina Faso,14,292
soni1259,Soninke,15,157
sout2774,Southeast Ijo,7,7
sout2789,Central Dagaare,7,342
suda1236,Sudanese Arabic,26,504
susu1250,Susu,5,238
swah1253,Swahili,14,200
tama1365,Tamasheq,9,292
taro1263,Tarok,9,210
tawa1286,Tawallammat Tamajaq,10,282
teda1241,Tedaga,10,477
teen1242,Téén,6,329
temm1241,Tem,7,383
tepo1239,Tepo Krumen,3,192
tika1246,Tikar,9,815
timn1235,Timne,4,48
tofi1235,Tofin Gbe,8,0
topo1242,Toposa,3,458
toro1252,Toro So Dogon,6,279
tour1242,Toura (Côte d'Ivoire),4,546
vagl1239,Vagla,7,345
veng1238,Vengo,22,1680
vute1244,Vute,8,894
waam1244,Waama,2,477
wann1242,Wan,4,274
weno1238,Wobe-Wè Northern,2,314
west2450,West-Central Limba,4,63
west2454,Western Niger Fulfulde,4,293
west2466,Western Karaboro,3,292
west2500,Western Maninkakan,6,71
yamb1251,Yamba,10,1160
yamb1252,Yambeta,4,717
yaou1238,Yaouré,5,235
yemb1246,Yemba,8,1324
yomm1242,Yom,8,418
yoru1245,Yoruba,10,105
zand1248,Zande,6,638
zarm1239,Zarma-Kaado,4,178
zulg1242,Zulgo-Gemzek,10,719
